"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1511.2","MA1511.2",620,5873,62.0620620620621,39.1716134195958,1.58436318150263,1.01299743277423e-51,"KLF10",1.58230198999335e-48
"ENSG00000167182_LINE1077_SP2_D_N1","ENSG00000167182_LINE1077_SP2_D_N1",688,6913,68.8688688688689,46.1081838191156,1.49363655569355,4.4745556017515e-51,"SP2",3.49462792496793e-48
"MA0742.2","MA0742.2",548,4908,54.8548548548548,32.7352764623491,1.67571075558036,2.494068981191e-50,"KLF12",1.29857858287345e-47
"ENSG00000178951_LINE1236_ZBTB7A_D_N1","ENSG00000178951_LINE1236_ZBTB7A_D_N1",565,5161,56.5565565565566,34.4227306076169,1.64300029539324,1.04598992950856e-49,"ZBTB7A",4.08459067473093e-47
"MA1961.1","MA1961.1",649,6398,64.964964964965,42.6732475155072,1.52238155629841,7.55946654593004e-49,"PATZ1",2.2709202644811e-46
"MA1513.1","MA1513.1",539,4835,53.953953953954,32.2483825785366,1.67307472933119,8.72312521567644e-49,"KLF15",2.2709202644811e-46
"MA1959.1","MA1959.1",610,5856,61.0610610610611,39.0582271726806,1.56333416750083,5.95358853606256e-48,"KLF7",1.32850075618996e-45
"ENSG00000006194_LINE594_ZNF263_D_N2","ENSG00000006194_LINE594_ZNF263_D_N2",770,8364,77.0770770770771,55.7860334822917,1.3816554478917,1.15499806901481e-47,"ZNF263",2.25513372975141e-45
"ENSG00000184937_LINE1305_WT1_D","ENSG00000184937_LINE1305_WT1_D",603,5781,60.3603603603604,38.5579937304075,1.56544349227276,3.33885545062189e-47,"WT1",5.79476912652377e-45
"MA0079.5","MA0079.5",601,5757,60.1601601601602,38.3979190288801,1.56675574306285,4.57429605103678e-47,"SP1",7.14505043171946e-45
"MA0516.3","MA0516.3",581,5543,58.1581581581582,36.9705862735943,1.57309266690468,5.06518864679736e-45,"SP2",7.19256787845226e-43
"ENSG00000185591_LINE1321_SP1_D_N5","ENSG00000185591_LINE1321_SP1_D_N5",655,6660,65.5655655655656,44.4207296738478,1.47601279958637,4.13685955283233e-44,"SP1",5.38481218460342e-42
"MA1723.1","MA1723.1",766,8491,76.6766766766767,56.6330954445408,1.35391993100155,1.33790691521872e-42,"PRDM9",1.60754661659356e-40
"ENSG00000102554_LINE710_KLF5_D","ENSG00000102554_LINE710_KLF5_D",680,7107,68.0680680680681,47.4021209897952,1.43597093646341,1.96685225773652e-42,"KLF5",2.19444516184603e-40
"ENSG00000005889_LINE590_ZFX_D","ENSG00000005889_LINE590_ZFX_D",565,5414,56.5565565565566,36.1101847528847,1.56622174446334,2.71320491821515e-42,"ZFX",2.82535072150138e-40
"MA0599.1","MA0599.1",686,7226,68.6686686686687,48.1958247182018,1.42478459638714,8.95042627415786e-42,"KLF5",8.73785365014661e-40
"MA1564.1","MA1564.1",555,5303,55.5555555555556,35.3698392583206,1.57070421354789,1.75474217623451e-41,"SP9",1.61229839957547e-39
"MA0740.2","MA0740.2",529,4953,52.9529529529529,33.0354165277129,1.6029146449094,3.25412057337774e-41,"KLF14",2.82385351978669e-39
"MA0741.1","MA0741.1",590,5814,59.0590590590591,38.7780964450077,1.5230004686489,4.37351426435328e-41,"KLF16",3.59548909522096e-39
"MA0493.2","MA0493.2",642,6584,64.2642642642643,43.9138264523444,1.46341754877599,5.91538877979835e-41,"KLF1",4.61991863702251e-39
"MA1981.1","MA1981.1",650,6706,65.0650650650651,44.7275395184419,1.45469806221372,6.38918739262845e-41,"ZNF530",4.75233843204078e-39
"MA0685.2","MA0685.2",593,5869,59.3593593593594,39.1449343026746,1.51639951418449,8.99858777010477e-41,"SP4",6.38899731677439e-39
"ENSG00000118263_LINE839_KLF7_I","ENSG00000118263_LINE839_KLF7_I",508,4692,50.8508508508508,31.2946041486027,1.62490794289601,1.59015953089735e-40,"KLF7",1.07992573359203e-38
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",688,7313,68.8688688688689,48.7760955112386,1.41193894564604,2.29659567002466e-40,"PURA",1.49470101524105e-38
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",697,7456,69.7697697697698,49.7298739411725,1.40297499752972,2.5013102019691e-40,"ZNF148",1.5628186141903e-38
"MA1102.2","MA1102.2",472,4223,47.2472472472472,28.1664776895885,1.67742831631063,2.92178563832986e-40,"CTCFL",1.75531891041202e-38
"MA1713.1","MA1713.1",427,3653,42.7427427427427,24.3647035283132,1.75428946603324,4.9815593459196e-40,"ZNF610",2.88192433271349e-38
"ENSG00000130816_LINE1722_DNMT1_D","ENSG00000130816_LINE1722_DNMT1_D",389,3197,38.9389389389389,21.323284199293,1.82612296375199,1.44961140540639e-39,"DNMT1",8.08676076873139e-38
"MA1712.1","MA1712.1",519,4878,51.9519519519519,32.5351830854399,1.59679297994181,1.74922059998437e-39,"ZNF454",9.42166405922616e-38
"ENSG00000124092_LINE881_CTCFL_D","ENSG00000124092_LINE881_CTCFL_D",459,4087,45.945945945946,27.2593877142667,1.6855090960792,2.89154238594643e-39,"CTCFL",1.50552973561611e-37
"ENSG00000120738_LINE864_EGR1_D_N8","ENSG00000120738_LINE864_EGR1_D_N8",447,3936,44.7447447447448,26.2522510504902,1.70441554359237,3.8146213019728e-39,"EGR1",1.92207692699404e-37
"ENSG00000103495_LINE797_MAZ_D","ENSG00000103495_LINE797_MAZ_D",746,8304,74.6746746746747,55.3858467284733,1.34826276179841,5.93638763346437e-39,"MAZ",2.8976992135848e-37
"MA0162.4","MA0162.4",499,4627,49.94994994995,30.8610684986327,1.61854246725654,6.25529558595756e-39,"EGR1",2.96083991068658e-37
"MA0746.2","MA0746.2",551,5349,55.1551551551552,35.6766491029147,1.54597353008271,1.0408576450244e-38,"SP3",4.78182247508269e-37
"ENSG00000129911_LINE910_KLF16_D","ENSG00000129911_LINE910_KLF16_D",578,5733,57.8578578578579,38.2378443273528,1.51310459246967,1.12736193355802e-38,"KLF16",5.03125525776464e-37
"ENSG00000172845_LINE1170_SP3_D_N1","ENSG00000172845_LINE1170_SP3_D_N1",613,6243,61.3613613613614,41.6394317348096,1.47363589763077,1.23073943328465e-38,"SP3",5.34004165219617e-37
"MA1653.1","MA1653.1",655,6881,65.5655655655656,45.8947508837458,1.42860706950229,1.99385373134935e-38,"ZNF148",8.41729602261535e-37
"MA1721.1","MA1721.1",471,4275,47.1471471471471,28.5133062095645,1.65351386474193,2.37224981110987e-38,"ZNF93",9.75119527619374e-37
"MA1965.1","MA1965.1",663,7015,66.3663663663664,46.788501300607,1.41843325863283,3.83456255835955e-38,"SP5",1.53579146568144e-36
"ENSG00000136826_LINE939_KLF4_D","ENSG00000136826_LINE939_KLF4_D",630,6555,63.0630630630631,43.7204028546655,1.44241724562091,3.75994036881115e-37,"KLF4",1.46825671402075e-35
