"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1513.1","MA1513.1",41,3098,82,20.6657327729971,3.96792123950936,2.30409576052285e-20,"KLF15",3.5989975779367e-17
"ENSG00000005889_LINE590_ZFX_D","ENSG00000005889_LINE590_ZFX_D",42,3475,84,23.1805750116737,3.62372374100719,1.25857582095514e-19,"ZFX",9.82947716165967e-17
"MA1961.1","MA1961.1",45,4372,90,29.1641651657661,3.08597895699909,2.82814351006569e-19,"PATZ1",1.47252005424087e-16
"MA1713.1","MA1713.1",36,2302,72,15.3558801947835,4.68875760208514,4.0505801446883e-19,"ZNF610",1.58175154650078e-16
"ENSG00000130816_LINE1722_DNMT1_D","ENSG00000130816_LINE1722_DNMT1_D",34,2006,68,13.3813621506237,5.08169491525424,8.62051311890812e-19,"DNMT1",2.6930482983469e-16
"ENSG00000167182_LINE1077_SP2_D_N1","ENSG00000167182_LINE1077_SP2_D_N1",45,4685,90,31.2520845840838,2.87980789754536,5.57868848509959e-18,"SP2",1.45231856895426e-15
"MA1511.2","MA1511.2",42,3846,84,25.6553932359416,3.27416536661466,7.08702166719683e-18,"KLF10",1.58141826345163e-15
"MA1721.1","MA1721.1",36,2641,72,17.617237008872,4.08690647482014,4.08992776384193e-17,"ZNF93",7.04964423817954e-15
"ENSG00000185591_LINE1321_SP1_D_N5","ENSG00000185591_LINE1321_SP1_D_N5",44,4593,88,30.6383830298179,2.87221423905944,4.1165870694076e-17,"SP1",7.04964423817954e-15
"ENSG00000169057_LINE2826_MECP2_D","ENSG00000169057_LINE2826_MECP2_D",33,2098,66,13.9950637048896,4.71594852240229,4.51321654172826e-17,"MECP2",7.04964423817954e-15
"MA0746.2","MA0746.2",39,3408,78,22.7336401841105,3.43103873239437,1.6783111860694e-16,"SP3",2.38320188421855e-14
"MA0516.3","MA0516.3",40,3747,80,24.9949969981989,3.20064051240993,4.52688403328431e-16,"SP2",5.89249404999174e-14
"ENSG00000008197_LINE6_TFAP2D_D","ENSG00000008197_LINE6_TFAP2D_D",35,2815,70,18.7779334267227,3.72777975133215,3.61217594803348e-15,"TFAP2D",4.34016833140639e-13
"ENSG00000105866_LINE807_SP4_D_N1","ENSG00000105866_LINE807_SP4_D_N1",35,2826,70,18.8513107864719,3.71326963906582,4.0901318779449e-15,"SP4",4.55943205481922e-13
"MA1976.1","MA1976.1",40,3985,80,26.5826162364085,3.00948557089084,4.37845587850758e-15,"ZNF320",4.55943205481922e-13
"MA0740.2","MA0740.2",36,3099,72,20.6724034420652,3.48290416263311,8.05065483735935e-15,"KLF14",7.78751306195854e-13
"ENSG00000120738_LINE864_EGR1_D_N8","ENSG00000120738_LINE864_EGR1_D_N8",33,2494,66,16.6366486558602,3.96714514835605,8.47552637985245e-15,"EGR1",7.78751306195854e-13
"MA1959.1","MA1959.1",39,3818,78,25.4686145020346,3.06259298061812,9.84064784153392e-15,"KLF7",8.53949551581999e-13
"MA0742.2","MA0742.2",36,3138,72,20.9325595357214,3.43961759082218,1.21121341060606e-14,"KLF12",9.89717209362126e-13
"ENSG00000113658_LINE19362_SMAD5_I_N1","ENSG00000113658_LINE19362_SMAD5_I_N1",29,1826,58,12.1806417183644,4.76165388828039,1.26724354591821e-14,"SMAD5",9.89717209362126e-13
"MA1987.1","MA1987.1",40,4114,80,27.4431325461944,2.91511910549344,1.40619857635358e-14,"ZNF701",1.04594389345919e-12
"MA0039.4","MA0039.4",43,4996,86,33.3266626642652,2.5805164131305,1.73098273211066e-14,"KLF4",1.22899773979857e-12
"ENSG00000189120_LINE1378_SP6_I","ENSG00000189120_LINE1378_SP6_I",33,2580,66,17.2103261957174,3.83490697674419,2.33385616984403e-14,"SP6",1.51895139054015e-12
"ENSG00000204335_LINE1520_SP5_I","ENSG00000204335_LINE1520_SP5_I",33,2580,66,17.2103261957174,3.83490697674419,2.33385616984403e-14,"SP5",1.51895139054015e-12
"MA0079.5","MA0079.5",39,3932,78,26.2290707757988,2.9737995930824,2.7962176875714e-14,"SP1",1.74707681119461e-12
"MA0685.2","MA0685.2",39,3990,78,26.615969581749,2.93057142857143,4.69432059544938e-14,"SP4",2.82020337311228e-12
"ENSG00000172379_LINE273_ARNT2_D","ENSG00000172379_LINE273_ARNT2_D",30,2098,60,13.9950637048896,4.28722592945662,5.35449542405883e-14,"ARNT2",3.05626384955353e-12
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",43,5143,86,34.307251017277,2.50675870114719,5.47857796334819e-14,"ZNF148",3.05626384955353e-12
"ENSG00000184937_LINE1305_WT1_D","ENSG00000184937_LINE1305_WT1_D",38,3817,76,25.4619438329664,2.98484673827613,9.47349444550906e-14,"WT1",5.10262011168454e-12
"ENSG00000178951_LINE1236_ZBTB7A_D_N1","ENSG00000178951_LINE1236_ZBTB7A_D_N1",36,3356,72,22.3867653925689,3.21618593563766,1.07230497704099e-13,"ZBTB7A",5.5831345804601e-12
"MA1712.1","MA1712.1",34,3039,68,20.2721632979788,3.35435340572557,3.59596747477576e-13,"ZNF454",1.81190361148379e-11
