"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000167182_LINE1077_SP2_D_N1","ENSG00000167182_LINE1077_SP2_D_N1",47,4685,94,31.2520845840838,3.00779935965848,1.02441765412905e-20,"SP2",1.60014037574958e-17
"ENSG00000120738_LINE864_EGR1_D_N8","ENSG00000120738_LINE864_EGR1_D_N8",38,2494,76,16.6366486558602,4.56822774659182,2.97539291339117e-20,"EGR1",2.32378186535851e-17
"ENSG00000165804_LINE1060_ZNF219_D","ENSG00000165804_LINE1060_ZNF219_D",39,2952,78,19.6918150890534,3.96103658536585,9.02758427337456e-19,"ZNF219",4.70036221167035e-16
"MA1959.1","MA1959.1",42,3818,84,25.4686145020346,3.29817705605029,5.30763256068268e-18,"KLF7",2.07263051494658e-15
"MA1511.2","MA1511.2",42,3846,84,25.6553932359416,3.27416536661466,7.08702166719683e-18,"KLF10",2.21398556883229e-15
"ENSG00000130816_LINE1722_DNMT1_D","ENSG00000130816_LINE1722_DNMT1_D",33,2006,66,13.3813621506237,4.9322333000997,1.14124378640558e-17,"DNMT1",2.9710379906092e-15
"ENSG00000189120_LINE1378_SP6_I","ENSG00000189120_LINE1378_SP6_I",36,2580,72,17.2103261957174,4.18353488372093,1.87421458940079e-17,"SP6",3.65940398580505e-15
"ENSG00000204335_LINE1520_SP5_I","ENSG00000204335_LINE1520_SP5_I",36,2580,72,17.2103261957174,4.18353488372093,1.87421458940079e-17,"SP5",3.65940398580505e-15
"MA0733.1","MA0733.1",32,1910,64,12.7409779200854,5.02316230366492,3.23505358837815e-17,"EGR4",5.61461522782963e-15
"ENSG00000169057_LINE2826_MECP2_D","ENSG00000169057_LINE2826_MECP2_D",33,2098,66,13.9950637048896,4.71594852240229,4.51321654172826e-17,"MECP2",7.04964423817954e-15
"MA1513.1","MA1513.1",38,3098,76,20.6657327729971,3.67758553905746,6.71372230731845e-17,"KLF15",8.78027473027582e-15
"MA1713.1","MA1713.1",34,2302,68,15.3558801947835,4.42827106863597,6.74540952389948e-17,"ZNF610",8.78027473027582e-15
"ENSG00000184937_LINE1305_WT1_D","ENSG00000184937_LINE1305_WT1_D",41,3817,82,25.4619438329664,3.2204925334032,7.32259705840357e-17,"WT1",8.79838200402029e-15
"MA0742.2","MA0742.2",38,3138,76,20.9325595357214,3.63070745697897,1.05435516154861e-16,"KLF12",1.17635911595638e-14
"ENSG00000185591_LINE1321_SP1_D_N5","ENSG00000185591_LINE1321_SP1_D_N5",43,4593,86,30.6383830298179,2.80693664271718,5.98050717584531e-16,"SP1",6.22770147244692e-14
"MA0740.2","MA0740.2",37,3099,74,20.6724034420652,3.57965150048403,7.77508007230746e-16,"KLF14",7.59042192059016e-14
"MA1564.1","MA1564.1",38,3342,76,22.2933760256154,3.40908438061041,9.57298949175652e-16,"SP9",8.79588799183746e-14
"MA1961.1","MA1961.1",42,4372,84,29.1641651657661,2.88024702653248,1.09153417227424e-15,"PATZ1",9.05399120765597e-14
"MA0493.2","MA0493.2",42,4373,84,29.1708358348342,2.87958838326092,1.10131775253178e-15,"KLF1",9.05399120765597e-14
"ENSG00000135625_LINE931_EGR4_D_N3","ENSG00000135625_LINE931_EGR4_D_N3",30,1854,60,12.3674204522714,4.85145631067961,1.82921516589815e-15,"EGR4",1.42861704456646e-13
"MA0079.5","MA0079.5",40,3932,80,26.2290707757988,3.0500508646999,2.67737545344407e-15,"SP1",1.99145736108555e-13
"MA1981.1","MA1981.1",42,4509,84,30.0780468280969,2.79273453093812,3.62992247608299e-15,"ZNF530",2.52824457147324e-13
"ENSG00000005889_LINE590_ZFX_D","ENSG00000005889_LINE590_ZFX_D",38,3475,76,23.1805750116737,3.2786071942446,3.72276729474292e-15,"ZFX",2.52824457147324e-13
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",44,5143,88,34.307251017277,2.56505541512736,4.45286081582215e-15,"ZNF148",2.83291282949253e-13
"MA0685.2","MA0685.2",40,3990,80,26.615969581749,3.00571428571429,4.5846560338947e-15,"SP4",2.83291282949253e-13
"ENSG00000163884_LINE1044_KLF15_D","ENSG00000163884_LINE1044_KLF15_D",42,4540,84,30.2848375692082,2.77366519823789,4.73708489774624e-15,"KLF15",2.83291282949253e-13
"MA1721.1","MA1721.1",34,2641,68,17.617237008872,3.85985611510791,4.89684035827773e-15,"ZNF93",2.83291282949253e-13
"MA0732.1","MA0732.1",30,1944,60,12.967780668401,4.62685185185185,6.71831441518533e-15,"EGR3",3.74785968447125e-13
"ENSG00000103495_LINE797_MAZ_D","ENSG00000103495_LINE797_MAZ_D",46,5920,92,39.4903608831966,2.32968243243243,8.15732448777804e-15,"MAZ",4.39370374134803e-13
"ENSG00000067646_LINE629_ZFY_I","ENSG00000067646_LINE629_ZFY_I",37,3353,74,22.3667533853646,3.3084819564569,1.11203176995283e-14,"ZFY",5.77243085265423e-13
"MA1596.1","MA1596.1",45,5603,90,37.3757587886065,2.40797786899875,1.15594752384663e-14,"ZNF460",5.77243085265423e-13
"MA0162.4","MA0162.4",35,2922,70,19.4916950170102,3.59127310061602,1.18257226174735e-14,"EGR1",5.77243085265423e-13
"MA0746.2","MA0746.2",37,3408,74,22.7336401841105,3.25508802816901,1.91949660084683e-14,"SP3",9.08561724400832e-13
"MA1723.1","MA1723.1",46,6107,92,40.7377759989327,2.2583461601441,3.16441579220489e-14,"PRDM9",1.45376984336001e-12
"MA0516.3","MA0516.3",38,3747,76,24.9949969981989,3.04060848678943,5.0222232496419e-14,"SP2",2.24134649026876e-12
"ENSG00000118263_LINE839_KLF7_I","ENSG00000118263_LINE839_KLF7_I",34,2935,68,19.5784137148956,3.4732129471891,1.24929546241718e-13,"KLF7",5.29528788625852e-12
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",42,4942,84,32.9664465345874,2.54804532577904,1.25432555564382e-13,"PURA",5.29528788625852e-12
"MA1965.1","MA1965.1",41,4792,82,31.9658461743713,2.56523789649416,3.89095365590899e-13,"SP5",1.59938673961312e-11
