"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000006194_LINE594_ZNF263_D_N2","ENSG00000006194_LINE594_ZNF263_D_N2",800,24929,80,49.8819433327997,1.60378675438245,4.89938690662168e-88,"ZNF263",7.65284234814306e-85
"MA1596.1","MA1596.1",769,23707,76.9,47.4367696494317,1.62110532754039,1.61325316255939e-82,"ZNF460",1.25995071995888e-79
"MA1723.1","MA1723.1",803,25694,80.3,51.412678085481,1.561871565346,7.74536320208843e-82,"PRDM9",4.03275244055404e-79
"MA0039.4","MA0039.4",740,22244,74,44.5093644949576,1.66257147994965,1.8480877038977e-81,"KLF4",7.21678248372052e-79
"MA1976.1","MA1976.1",660,18547,66,37.1118136705619,1.77840944627163,6.08114830183462e-78,"ZNF320",1.89975072949314e-75
"MA0493.2","MA0493.2",691,20213,69.1,40.4454137986233,1.70847553554643,2.50456734325443e-76,"KLF1",6.52022365027236e-74
"ENSG00000172845_LINE1170_SP3_D_N1","ENSG00000172845_LINE1170_SP3_D_N1",662,18888,66.2,37.7941411877701,1.75159423972893,2.82388023733984e-75,"SP3",6.30128704389262e-73
"ENSG00000136826_LINE939_KLF4_D","ENSG00000136826_LINE939_KLF4_D",675,19655,67.5,39.3288778613735,1.7162961078606,7.4639714865112e-74,"KLF4",1.45734043274131e-71
"ENSG00000103495_LINE797_MAZ_D","ENSG00000103495_LINE797_MAZ_D",780,25272,78,50.56827277093,1.54246913580247,6.85433460594791e-73,"MAZ",1.18960785049896e-70
"ENSG00000163884_LINE1044_KLF15_D","ENSG00000163884_LINE1044_KLF15_D",694,20724,69.4,41.4679045942052,1.67358347809303,1.42348416407173e-72,"KLF15",2.22348226428004e-70
"MA1511.2","MA1511.2",650,18621,65,37.2598847446774,1.74450351753397,5.72318987604081e-72,"KLF10",8.12692962397795e-70
"MA0746.2","MA0746.2",607,16643,60.7,33.3019849527773,1.82271417412726,1.26837108870686e-71,"SP3",1.65099636713342e-69
"ENSG00000102554_LINE710_KLF5_D","ENSG00000102554_LINE710_KLF5_D",714,21847,71.4,43.7149831919321,1.63330727330984,1.53528126292294e-71,"KLF5",1.84469948668126e-69
"MA0599.1","MA0599.1",721,22242,72.1,44.5053625740355,1.62002949375056,3.15172541795264e-71,"KLF5",3.35428214748812e-69
"ENSG00000177932_LINE1220_ZNF354C_D","ENSG00000177932_LINE1220_ZNF354C_D",812,27300,81.2,54.6262205858812,1.48646564102564,3.43588440203648e-71,"ZNF354C",3.35428214748812e-69
"MA0130.1","MA0130.1",812,27300,81.2,54.6262205858812,1.48646564102564,3.43588440203648e-71,"ZNF354C",3.35428214748812e-69
"MA0740.2","MA0740.2",583,15718,58.3,31.4510965263326,1.85367145947322,7.01819317915696e-70,"KLF14",6.44848102696657e-68
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",730,22916,73,45.8540099247639,1.59200907662768,2.97864534943389e-69,"ZNF148",2.58480224211985e-67
"MA1959.1","MA1959.1",641,18504,64.1,37.025772370738,1.73122654561176,1.07709904724002e-68,"KLF7",8.85488795678372e-67
"ENSG00000167182_LINE1077_SP2_D_N1","ENSG00000167182_LINE1077_SP2_D_N1",702,21560,70.2,43.140707539619,1.62723339517625,2.88950565171585e-68,"SP2",2.25670391399008e-66
"MA1564.1","MA1564.1",594,16396,59.4,32.8077477189051,1.81054793852159,7.0911075374382e-68,"SP9",5.27443332070403e-66
