"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",44,5143,88,34.307251017277,2.56505541512736,4.45286081582215e-15,"ZNF148",4.99299035049362e-12
"ENSG00000103495_LINE797_MAZ_D","ENSG00000103495_LINE797_MAZ_D",46,5920,92,39.4903608831966,2.32968243243243,8.15732448777804e-15,"MAZ",4.99299035049362e-12
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",43,4942,86,32.9664465345874,2.60871307163092,1.12274979432531e-14,"PURA",4.99299035049362e-12
"MA0522.3","MA0522.3",35,2948,70,19.665132412781,3.55959972862958,1.56580638697384e-14,"TCF3",4.99299035049362e-12
"MA0073.1","MA0073.1",43,4986,86,33.2599559735841,2.58569193742479,1.59826835803253e-14,"RREB1",4.99299035049362e-12
"MA1648.1","MA1648.1",35,3014,70,20.1053965712761,3.48165228931652,3.1532211009712e-14,"TCF12",8.20888559952835e-12
"MA1981.1","MA1981.1",41,4509,82,30.0780468280969,2.72624085163007,4.02279688932676e-14,"ZNF530",8.97658391589771e-12
"MA1107.2","MA1107.2",42,4856,84,32.3927689947302,2.59317133443163,6.38824499295552e-14,"KLF9",1.24730483487457e-11
"ENSG00000124782_LINE888_RREB1_D_N2","ENSG00000124782_LINE888_RREB1_D_N2",42,4986,84,33.2599559735841,2.525559566787,1.76228178158726e-13,"RREB1",3.0585379364881e-11
"MA0149.1","MA0149.1",42,5053,84,33.7068908011474,2.49207203641401,2.93810664728926e-13,"EWSR1-FLI1",4.58932258306583e-11
"MA1965.1","MA1965.1",41,4792,82,31.9658461743713,2.56523789649416,3.89095365590899e-13,"SP5",5.52515419139077e-11
"MA1723.1","MA1723.1",45,6107,90,40.7377759989327,2.20925167840183,4.33726386951712e-13,"PRDM9",5.64567180348812e-11
"MA1710.1","MA1710.1",40,4546,80,30.3248615836168,2.63809942806863,5.25948472656537e-13,"ZNF257",6.31947318684239e-11
