"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1513.1","MA1513.1",39,3098,78,20.6657327729971,3.77436410587476,5.27230259146817e-18,"KLF15",4.35695570686278e-15
"ENSG00000167182_LINE1077_SP2_D_N1","ENSG00000167182_LINE1077_SP2_D_N1",45,4685,90,31.2520845840838,2.87980789754536,5.57868848509959e-18,"SP2",4.35695570686278e-15
"MA1961.1","MA1961.1",43,4372,86,29.1641651657661,2.94882433668801,8.19000691949817e-17,"PATZ1",4.26426360275205e-14
"MA1511.2","MA1511.2",40,3846,80,25.6553932359416,3.1182527301092,1.18597720945683e-15,"KLF10",4.63124100292894e-13
"ENSG00000008197_LINE6_TFAP2D_D","ENSG00000008197_LINE6_TFAP2D_D",35,2815,70,18.7779334267227,3.72777975133215,3.61217594803348e-15,"TFAP2D",9.12683713335704e-13
"ENSG00000005889_LINE590_ZFX_D","ENSG00000005889_LINE590_ZFX_D",38,3475,76,23.1805750116737,3.2786071942446,3.72276729474292e-15,"ZFX",9.12683713335704e-13
"ENSG00000105866_LINE807_SP4_D_N1","ENSG00000105866_LINE807_SP4_D_N1",35,2826,70,18.8513107864719,3.71326963906582,4.0901318779449e-15,"SP4",9.12683713335704e-13
"ENSG00000102554_LINE710_KLF5_D","ENSG00000102554_LINE710_KLF5_D",43,4870,86,32.4861583616837,2.64728131416838,6.25130134776638e-15,"KLF5",1.22056658815139e-12
"ENSG00000185591_LINE1321_SP1_D_N5","ENSG00000185591_LINE1321_SP1_D_N5",42,4593,84,30.6383830298179,2.74165904637492,7.43235606513624e-15,"SP1",1.2254566653425e-12
"MA1713.1","MA1713.1",32,2302,64,15.3558801947835,4.16778453518679,7.84543319681499e-15,"ZNF610",1.2254566653425e-12
"ENSG00000067646_LINE629_ZFY_I","ENSG00000067646_LINE629_ZFY_I",37,3353,74,22.3667533853646,3.3084819564569,1.11203176995283e-14,"ZFY",1.57908511333302e-12
"MA0493.2","MA0493.2",41,4373,82,29.1708358348342,2.81102675508804,1.27442324572104e-14,"KLF1",1.65887425818023e-12
"MA0599.1","MA0599.1",43,4984,86,33.2466146354479,2.58672953451043,1.57293826266141e-14,"KLF5",1.88994582021317e-12
"MA1976.1","MA1976.1",39,3985,78,26.5826162364085,2.93424843161857,4.49080981793913e-14,"ZNF320",5.01046066830066e-12
"MA0740.2","MA0740.2",35,3099,70,20.6724034420652,3.38615682478219,7.57194052668112e-14,"KLF14",7.8849140684506e-12
"ENSG00000103495_LINE797_MAZ_D","ENSG00000103495_LINE797_MAZ_D",45,5920,90,39.4903608831966,2.27903716216216,1.17689958652182e-13,"MAZ",1.14894822134193e-11
"MA0746.2","MA0746.2",36,3408,72,22.7336401841105,3.16711267605634,1.76098247944043e-13,"SP3",1.56442146608791e-11
"ENSG00000127528_LINE2754_KLF2_I_N15","ENSG00000127528_LINE2754_KLF2_I_N15",35,3186,70,21.2527516509906,3.29369114877589,1.80437203924556e-13,"KLF2",1.56442146608791e-11
"MA0039.4","MA0039.4",42,4996,84,33.3266626642652,2.52050440352282,1.9029454453054e-13,"KLF4",1.56442146608791e-11
"MA1102.2","MA1102.2",34,2990,68,19.9453005136415,3.40932441471572,2.1968364834119e-13,"CTCFL",1.7157292935447e-11
"MA1653.1","MA1653.1",41,4738,82,31.6056300446935,2.59447446179823,2.55438753109825e-13,"ZNF148",1.85387818593134e-11
"MA0079.5","MA0079.5",38,3932,76,26.2290707757988,2.8975483214649,2.61109603652301e-13,"SP1",1.85387818593134e-11
"MA0516.3","MA0516.3",37,3747,74,24.9949969981989,2.96059247397918,4.50042347585923e-13,"SP2",3.05637455186614e-11
"ENSG00000136826_LINE939_KLF4_D","ENSG00000136826_LINE939_KLF4_D",39,4321,78,28.8239610432926,2.70608192548021,7.71068851254417e-13,"KLF4",4.97614100415122e-11
"MA1564.1","MA1564.1",35,3342,70,22.2933760256154,3.13994614003591,8.0063576466261e-13,"SP9",4.97614100415122e-11
"ENSG00000184937_LINE1305_WT1_D","ENSG00000184937_LINE1305_WT1_D",37,3817,74,25.4619438329664,2.90629813990045,8.28294917464351e-13,"WT1",4.97614100415122e-11
"MA0742.2","MA0742.2",34,3138,68,20.9325595357214,3.24852772466539,9.4663231400316e-13,"KLF12",5.47644323878865e-11
"ENSG00000134046_LINE2819_MBD2_D","ENSG00000134046_LINE2819_MBD2_D",25,1517,50,10.1194049763191,4.94100197758734,1.14903328928996e-12,"MBD2",6.40996427811044e-11
"MA0810.1","MA0810.1",27,1849,54,12.3340671069308,4.37811790156842,1.4961117446986e-12,"TFAP2A",8.05836739730763e-11
"ENSG00000189120_LINE1378_SP6_I","ENSG00000189120_LINE1378_SP6_I",31,2580,62,17.2103261957174,3.60248837209302,1.74110889691519e-12,"SP6",8.7729422483275e-11
"ENSG00000204335_LINE1520_SP5_I","ENSG00000204335_LINE1520_SP5_I",31,2580,62,17.2103261957174,3.60248837209302,1.74110889691519e-12,"SP5",8.7729422483275e-11
"MA1522.1","MA1522.1",38,4213,76,28.103528783937,2.70428673154522,2.70497634612432e-12,"MAZ",1.32036657895193e-10
"MA1981.1","MA1981.1",39,4509,78,30.0780468280969,2.59325349301397,3.38752729824725e-12,"ZNF530",1.53622973638899e-10
"MA1965.1","MA1965.1",40,4792,80,31.9658461743713,2.50267111853088,3.473065489275e-12,"SP5",1.53622973638899e-10
"MA1512.1","MA1512.1",34,3278,68,21.8664532052565,3.10978645515558,3.50540819176109e-12,"KLF11",1.53622973638899e-10
