"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000142539_LINE1880_SPIB_D_N2","ENSG00000142539_LINE1880_SPIB_D_N2",357,12274,35.7,24.5597886985753,1.45359556786704,1.3362797237859e-15,"SPIB",2.08726892855358e-12
"ENSG00000140044_LINE415_JDP2_D_N2","ENSG00000140044_LINE415_JDP2_D_N2",184,5384,18.4,10.7731711221386,1.70794650817236,2.87703464290457e-13,"JDP2",1.92574714623724e-10
"MA0835.2","MA0835.2",278,9280,27.8,18.5689130782776,1.49712586206897,3.84971940044602e-13,"BATF3",1.92574714623724e-10
"MA0476.1","MA0476.1",256,8363,25.6,16.7340323355211,1.52981657300012,4.93149077141419e-13,"FOS",1.92574714623724e-10
"ENSG00000170345_LINE476_FOS_D_N4","ENSG00000170345_LINE476_FOS_D_N4",257,8444,25.7,16.8961101328638,1.52106016106111,8.20352353304853e-13,"FOS",2.56278075172436e-10
"MA0491.2","MA0491.2",223,7042,22.3,14.0907635665119,1.58259698949162,1.06205769169504e-12,"JUND",2.76489019071275e-10
"MA1134.1","MA1134.1",210,6533,21,13.0722746918521,1.60645339047911,1.50127903997639e-12,"FOS::JUNB",3.34999694349018e-10
"MA1634.1","MA1634.1",272,9152,27.2,18.3127901392668,1.4853006993007,1.95059548717751e-12,"BATF",3.80853768871408e-10
"MA0462.2","MA0462.2",273,9234,27.3,18.4768688970706,1.47752306692658,3.14870839975404e-12,"BATF::JUN",5.09042428182917e-10
"ENSG00000171223_LINE487_JUNB_D_N3","ENSG00000171223_LINE487_JUNB_D_N3",242,7928,24.2,15.8636145349768,1.52550353178607,3.7955831171139e-12,"JUNB",5.09042428182917e-10
"ENSG00000075426_LINE328_FOSL2_D_N3","ENSG00000075426_LINE328_FOSL2_D_N3",241,7888,24.1,15.7835761165359,1.52690365111562,3.90171269741979e-12,"FOSL2",5.09042428182917e-10
"MA1928.1","MA1928.1",257,8566,25.7,17.1402273091084,1.49939668456689,3.91069727157171e-12,"BNC2",5.09042428182917e-10
"MA0478.1","MA0478.1",241,7895,24.1,15.7975828397631,1.52554984167194,4.27405110236465e-12,"FOSL2",5.13543678607199e-10
"MA0477.2","MA0477.2",240,7868,24,15.7435569073155,1.52443314692425,5.20167718601948e-12,"FOSL1",5.80358554611602e-10
"ENSG00000175592_LINE505_FOSL1_D_N3","ENSG00000175592_LINE505_FOSL1_D_N3",241,7933,24.1,15.8736193372819,1.51824227908736,6.98403705466741e-12,"FOSL1",7.27271058626033e-10
"MA1633.2","MA1633.2",230,7487,23,14.9811909716664,1.53525844797649,8.65913354727567e-12,"BACH1",8.45347912552787e-10
"MA1141.1","MA1141.1",233,7626,23.3,15.2593244757484,1.52693522161028,1.02779049586083e-11,"FOS::JUND",9.44358090902713e-10
"MA1130.1","MA1130.1",219,7088,21.9,14.1828077477189,1.5441230248307,1.92261488215335e-11,"FOSL2::JUN",1.66840246995752e-09
"MA0490.2","MA0490.2",229,7512,22.9,15.0312149831919,1.52349627263046,2.06634127867331e-11,"JUNB",1.69875004067774e-09
"ENSG00000177606_LINE517_JUN_D_N5","ENSG00000177606_LINE517_JUN_D_N5",237,7863,23.7,15.7335521050104,1.50633498664632,2.45505595119437e-11,"JUN",1.9173986978828e-09
"MA1142.1","MA1142.1",223,7317,22.3,14.6410276932928,1.52311712450458,4.29156609272271e-11,"FOSL1::JUND",3.19210773182518e-09
"ENSG00000066336_LINE1813_SPI1_D_N5","ENSG00000066336_LINE1813_SPI1_D_N5",542,22113,54.2,44.2472386745638,1.22493519649075,1.13015541006157e-10,"SPI1",8.02410341143715e-09
"MA1128.1","MA1128.1",226,7527,22.6,15.0612293901073,1.50054151720473,1.22536494188513e-10,"FOSL1::JUN",8.32182625749816e-09
"MA1138.1","MA1138.1",209,6878,20.9,13.7626060509044,1.51860773480663,2.80761363244749e-10,"FOSL2::JUNB",1.82728853911791e-08
