"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1132.1","MA1132.1",27,1609,54,10.733106530585,5.03116221255438,5.07193422073349e-14,"JUN::JUNB",5.21421672986754e-11
"ENSG00000156273_LINE437_BACH1_D_N1","ENSG00000156273_LINE437_BACH1_D_N1",29,1945,58,12.9744513374691,4.47032390745501,6.6763338410596e-14,"BACH1",5.21421672986754e-11
"MA1596.1","MA1596.1",44,5603,88,37.3757587886065,2.35446724968767,1.48608669918884e-13,"ZNF460",5.96317587655128e-11
"ENSG00000164093_LINE2428_PITX2_D","ENSG00000164093_LINE2428_PITX2_D",30,2181,60,14.5487292375425,4.12407152682256,1.52706168413605e-13,"PITX2",5.96317587655128e-11
"MA1633.2","MA1633.2",29,2077,58,13.8549796544593,4.18622051035147,3.7020432665699e-13,"BACH1",1.15651831647644e-10
"MA1128.1","MA1128.1",29,2097,58,13.9883930358215,4.14629470672389,4.74691362697969e-13,"FOSL1::JUN",1.23577984755705e-10
"MA1141.1","MA1141.1",29,2128,58,14.1951837769328,4.08589285714286,6.94127687693439e-13,"FOS::JUND",1.54889635453879e-10
"ENSG00000148737_LINE3416_TCF7L2_D_N2","ENSG00000148737_LINE3416_TCF7L2_D_N2",29,2150,58,14.3419384964312,4.04408372093023,9.05481826750438e-13,"TCF7L2",1.76795326673023e-10
"MA1124.1","MA1124.1",28,1989,56,13.2679607764659,4.22069381598793,1.05641858519062e-12,"ZNF24",1.83347314451971e-10
"ENSG00000112182_LINE360_BACH2_D","ENSG00000112182_LINE360_BACH2_D",25,1520,50,10.1394169835234,4.93125,1.20129019196588e-12,"BACH2",1.87641527985071e-10
"ENSG00000124813_LINE3275_RUNX2_D_N2","ENSG00000124813_LINE3275_RUNX2_D_N2",36,3719,72,24.8082182642919,2.90226404947567,2.87576279602514e-12,"RUNX2",3.74328457282605e-10
"ENSG00000250096_LINE3288_ENSG00000250096_I","ENSG00000250096_LINE3288_ENSG00000250096_I",36,3719,72,24.8082182642919,2.90226404947567,2.87576279602514e-12,"ENSG00000250096",3.74328457282605e-10
"MA1101.2","MA1101.2",24,1491,48,9.94596758054833,4.82607645875251,6.93859662645358e-12,"BACH2",8.33699071578499e-10
"MA0114.4","MA0114.4",25,1665,50,11.106663998399,4.5018018018018,9.21367141410329e-12,"HNF4A",1.02798248205924e-09
"ENSG00000177606_LINE517_JUN_D_N5","ENSG00000177606_LINE517_JUN_D_N5",28,2189,56,14.6020945900874,3.83506624029237,1.13479366497468e-11,"JUN",1.10244162260895e-09
"MA1634.1","MA1634.1",30,2570,60,17.1436195050364,3.49984435797665,1.19878872477216e-11,"BATF",1.10244162260895e-09
"ENSG00000173473_LINE2867_SMARCC1_D_N2","ENSG00000173473_LINE2867_SMARCC1_D_N2",28,2199,56,14.6688012807685,3.81762619372442,1.2692614245083e-11,"SMARCC1",1.10244162260895e-09
"ENSG00000148200_LINE3017_NR6A1_D_N2","ENSG00000148200_LINE3017_NR6A1_D_N2",26,1852,52,12.3540791141351,4.20913606911447,1.2704192834162e-11,"NR6A1",1.10244162260895e-09
"MA0462.2","MA0462.2",30,2592,60,17.2903742245347,3.47013888888889,1.49861829466053e-11,"BATF::JUN",1.21213581866959e-09
