"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0516.3","MA0516.3",37,3747,74,24.9949969981989,2.96059247397918,4.50042347585923e-13,"SP2",7.02966146929212e-10
"MA1965.1","MA1965.1",40,4792,80,31.9658461743713,2.50267111853088,3.473065489275e-12,"SP5",2.00260585774956e-09
"MA1107.2","MA1107.2",40,4856,80,32.3927689947302,2.46968698517298,5.56988104732689e-12,"KLF9",2.00260585774956e-09
"ENSG00000102554_LINE710_KLF5_D","ENSG00000102554_LINE710_KLF5_D",40,4870,80,32.4861583616837,2.46258726899384,6.17006113419904e-12,"KLF5",2.00260585774956e-09
"ENSG00000185591_LINE1321_SP1_D_N5","ENSG00000185591_LINE1321_SP1_D_N5",39,4593,78,30.6383830298179,2.54582625734814,6.41039006962088e-12,"SP1",2.00260585774956e-09
"MA0599.1","MA0599.1",40,4984,80,33.2466146354479,2.40626003210273,1.40148653106166e-11,"KLF5",3.64853660253051e-09
"MA0471.2","MA0471.2",32,3035,64,20.2454806217064,3.16119934102142,2.05402493386989e-11,"E2F6",4.58340992386396e-09
"MA1961.1","MA1961.1",37,4372,74,29.1641651657661,2.5373604757548,6.80888062741363e-11,"PATZ1",1.32943394250251e-08
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",39,4942,78,32.9664465345874,2.36604208822339,7.86556299094172e-11,"PURA",1.36511215465011e-08
"MA0504.1","MA0504.1",30,2804,60,18.7045560669735,3.20777460770328,1.15418951817518e-10,"NR2C2",1.80284402738964e-08
"MA1653.1","MA1653.1",38,4738,76,31.6056300446935,2.4046348670325,1.34445609371713e-10,"ZNF148",1.90912765307832e-08
"ENSG00000169057_LINE2826_MECP2_D","ENSG00000169057_LINE2826_MECP2_D",26,2098,52,13.9950637048896,3.71559580552907,2.15534195147593e-10,"MECP2",2.8055367735045e-08
"MA0741.1","MA0741.1",34,3798,68,25.3352011206724,2.68401263823065,2.67103876601692e-10,"KLF16",2.83543893761383e-08
"MA1630.2","MA1630.2",38,4849,76,32.3460743112534,2.34958960610435,2.86971738111804e-10,"ZNF281",2.83543893761383e-08
"MA1564.1","MA1564.1",32,3342,64,22.2933760256154,2.8708078994614,2.90854787800077e-10,"SP9",2.83543893761383e-08
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",39,5143,78,34.307251017277,2.27357184522652,3.02694157082054e-10,"ZNF148",2.83543893761383e-08
"ENSG00000184937_LINE1305_WT1_D","ENSG00000184937_LINE1305_WT1_D",34,3817,68,25.4619438329664,2.67065234477338,3.08594506654514e-10,"WT1",2.83543893761383e-08
"MA0742.2","MA0742.2",31,3138,62,20.9325595357214,2.96189292543021,3.36927990133926e-10,"KLF12",2.92378622549552e-08
"ENSG00000118263_LINE839_KLF7_I","ENSG00000118263_LINE839_KLF7_I",30,2935,60,19.5784137148956,3.0645996592845,3.71994504385439e-10,"KLF7",2.99920826093732e-08
"MA1511.2","MA1511.2",34,3846,68,25.6553932359416,2.65051482059282,3.84021544294151e-10,"KLF10",2.99920826093732e-08
"MA0079.5","MA0079.5",34,3932,68,26.2290707757988,2.59254323499491,7.25780797490621e-10,"SP1",5.39842669371596e-08
"MA1721.1","MA1721.1",28,2641,56,17.617237008872,3.17870503597122,1.05387886426434e-09,"ZNF93",7.12153655566221e-08
"MA1976.1","MA1976.1",34,3985,68,26.5826162364085,2.55806273525721,1.06517706658906e-09,"ZNF320",7.12153655566221e-08
"MA0149.1","MA0149.1",38,5053,76,33.7068908011474,2.25473184246982,1.09421816476244e-09,"EWSR1-FLI1",7.12153655566221e-08
"ENSG00000100105_LINE688_PATZ1_D","ENSG00000100105_LINE688_PATZ1_D",29,2860,58,19.0781135347875,3.04013286713287,1.19015963247946e-09,"PATZ1",7.43611738373165e-08
"ENSG00000066336_LINE1813_SPI1_D_N5","ENSG00000066336_LINE1813_SPI1_D_N5",40,5778,80,38.5431258755253,2.07559709241952,2.39839048888906e-09,"SPI1",1.44087920909412e-07
"ENSG00000164330_LINE251_EBF1_D_N2","ENSG00000164330_LINE251_EBF1_D_N2",29,3000,58,20.0120072043226,2.89826,3.79785277038486e-09,"EBF1",2.1971281582745e-07
"MA0810.1","MA0810.1",23,1849,46,12.3340671069308,3.7295078420768,4.19389209636987e-09,"TFAP2A",2.33959266233205e-07
