"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000163884_LINE1044_KLF15_D","ENSG00000163884_LINE1044_KLF15_D",38,4540,76,30.2848375692082,2.50950660792952,3.28730095216751e-11,"KLF15",4.62186255629816e-08
"MA1511.2","MA1511.2",35,3846,70,25.6553932359416,2.72847113884555,5.91787779295539e-11,"KLF10",4.62186255629816e-08
"ENSG00000120738_LINE864_EGR1_D_N8","ENSG00000120738_LINE864_EGR1_D_N8",28,2494,56,16.6366486558602,3.36606255012029,2.69427045470053e-10,"EGR1",9.45616546724337e-08
"MA1630.2","MA1630.2",38,4849,76,32.3460743112534,2.34958960610435,2.86971738111804e-10,"ZNF281",9.45616546724337e-08
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",39,5143,78,34.307251017277,2.27357184522652,3.02694157082054e-10,"ZNF148",9.45616546724337e-08
"ENSG00000105866_LINE807_SP4_D_N1","ENSG00000105866_LINE807_SP4_D_N1",29,2826,58,18.8513107864719,3.07670912951168,8.88324631739416e-10,"SP4",2.31260512462828e-07
"ENSG00000169057_LINE2826_MECP2_D","ENSG00000169057_LINE2826_MECP2_D",25,2098,50,13.9950637048896,3.57268827454719,1.41037938726811e-09,"MECP2",3.14716086130399e-07
"MA1959.1","MA1959.1",33,3818,66,25.4686145020346,2.5914248297538,1.86429578695567e-09,"KLF7",3.64003752403094e-07
"ENSG00000136931_LINE3001_NR5A1_D","ENSG00000136931_LINE3001_NR5A1_D",23,1796,46,11.9805216463211,3.83956570155902,2.37147951964379e-09,"NR5A1",4.115834455204e-07
"MA1961.1","MA1961.1",35,4372,70,29.1641651657661,2.40020585544373,2.67530472380086e-09,"PATZ1",4.17882597857694e-07
"MA0079.5","MA0079.5",33,3932,66,26.2290707757988,2.51629196337742,4.18446217527111e-09,"SP1",5.9223032280508e-07
"MA0039.4","MA0039.4",37,4996,74,33.3266626642652,2.22044435548439,4.54978481028231e-09,"KLF4",5.9223032280508e-07
"MA1513.1","MA1513.1",29,3098,58,20.6657327729971,2.80657843770174,8.22261064003545e-09,"KLF15",9.24519765460529e-07
"MA0740.2","MA0740.2",29,3099,58,20.6724034420652,2.80567279767667,8.28634873011998e-09,"KLF14",9.24519765460529e-07
"ENSG00000184937_LINE1305_WT1_D","ENSG00000184937_LINE1305_WT1_D",32,3817,64,25.4619438329664,2.51355514802201,1.01854716833767e-08,"WT1",1.0606471179623e-06
"MA0742.2","MA0742.2",29,3138,58,20.9325595357214,2.77080305927342,1.11707324001275e-08,"KLF12",1.09054275056244e-06
"MA0746.2","MA0746.2",30,3408,60,22.7336401841105,2.63926056338028,1.56636673952463e-08,"SP3",1.43921461596322e-06
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",36,4942,72,32.9664465345874,2.18403885066775,1.79357522146594e-08,"PURA",1.556424719961e-06
