"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000159216_LINE3282_RUNX1_D_N2","ENSG00000159216_LINE3282_RUNX1_D_N2",751,25518,75.1,51.0605090443413,1.47080398150325,7.25843455747311e-56,"RUNX1",1.1337674778773e-52
"MA1151.1","MA1151.1",259,4641,25.9,9.28645749959981,2.78900754147813,7.45789557975567e-54,"RORC",5.82461644778918e-51
"MA0835.2","MA0835.2",374,9280,37.4,18.5689130782776,2.01411896551724,2.24187885583523e-45,"BATF3",1.16727159093821e-42
"MA0462.2","MA0462.2",372,9234,37.2,18.4768688970706,2.0133281351527,4.98738215315541e-45,"BATF::JUN",1.94757273080719e-42
"MA1634.1","MA1634.1",367,9152,36.7,18.3127901392668,2.00406381118881,8.428670776957e-44,"BATF",2.35104842585425e-41
"ENSG00000069667_LINE2896_RORA_D_N5","ENSG00000069667_LINE2896_RORA_D_N5",255,5131,25.5,10.2669281255002,2.48370298187488,9.03091584835179e-44,"RORA",2.35104842585425e-41
"ENSG00000171223_LINE487_JUNB_D_N3","ENSG00000171223_LINE487_JUNB_D_N3",333,7928,33.3,15.8636145349768,2.09914328960646,4.46306737852941e-43,"JUNB",9.95901606466135e-41
"MA0099.3","MA0099.3",305,6971,30.5,13.9486953737794,2.18658442117343,2.93519401119583e-42,"FOS::JUN",5.42936843630561e-40
"MA1928.1","MA1928.1",348,8566,34.8,17.1402273091084,2.03031146392715,3.1283172808419e-42,"BNC2",5.42936843630561e-40
"MA1633.2","MA1633.2",318,7487,31.8,14.9811909716664,2.12266168024576,9.72990561932525e-42,"BACH1",1.5198112577386e-39
"ENSG00000170345_LINE476_FOS_D_N4","ENSG00000170345_LINE476_FOS_D_N4",343,8444,34.3,16.8961101328638,2.03005305542397,1.78724332248314e-41,"FOS",2.53788551792606e-39
"MA0491.2","MA0491.2",305,7042,30.5,14.0907635665119,2.1645384833854,2.1881945461627e-41,"JUND",2.84829990092178e-39
"MA0476.1","MA0476.1",340,8363,34,16.7340323355211,2.03178763601578,4.13640593765852e-41,"FOS",4.97005082663278e-39
"MA0490.2","MA0490.2",315,7512,31.5,15.0312149831919,2.09563897763578,3.77648481853582e-40,"JUNB",4.21347806182354e-38
"ENSG00000175592_LINE505_FOSL1_D_N3","ENSG00000175592_LINE505_FOSL1_D_N3",326,7933,32.6,15.8736193372819,2.05372192108912,5.11489179855639e-40,"FOSL1",5.17302643516149e-38
"MA1144.1","MA1144.1",294,6759,29.4,13.5244917560429,2.17383399911229,5.37950880452764e-40,"FOSL2::JUND",5.17302643516149e-38
"MA1128.1","MA1128.1",315,7527,31.5,15.0612293901073,2.09146273415703,5.63005437885694e-40,"FOSL1::JUN",5.17302643516149e-38
"MA1150.1","MA1150.1",232,4654,23.2,9.31246998559308,2.49128319724968,1.27142165601019e-39,"RORB",1.10331145927106e-37
"MA1141.1","MA1141.1",315,7626,31.5,15.2593244757484,2.0643115656963,7.58735170711632e-39,"FOS::JUND",6.23760177185037e-37
"MA0477.2","MA0477.2",321,7868,32.1,15.7435569073155,2.03892933401118,1.19379340736601e-38,"FOSL1",9.32352651152857e-37
"ENSG00000198963_LINE18386_RORB_I_N9","ENSG00000198963_LINE18386_RORB_I_N9",232,4723,23.2,9.45053625740355,2.45488714799915,1.30615298109326e-38,"RORB",9.71529026889364e-37
"MA1135.1","MA1135.1",290,6743,29,13.4924763886666,2.14934598843245,1.90180567676376e-38,"FOSB::JUNB",1.35028203050227e-36
"ENSG00000173473_LINE2867_SMARCC1_D_N2","ENSG00000173473_LINE2867_SMARCC1_D_N2",329,8203,32.9,16.4138786617576,2.00440131659149,2.7251975996638e-38,"SMARCC1",1.78577633257439e-36
"ENSG00000124813_LINE3275_RUNX2_D_N2","ENSG00000124813_LINE3275_RUNX2_D_N2",482,14496,48.2,29.0059228429646,1.66172958057395,2.85815674227656e-38,"RUNX2",1.78577633257439e-36
"ENSG00000250096_LINE3288_ENSG00000250096_I","ENSG00000250096_LINE3288_ENSG00000250096_I",482,14496,48.2,29.0059228429646,1.66172958057395,2.85815674227656e-38,"ENSG00000250096",1.78577633257439e-36
"MA1137.1","MA1137.1",300,7188,30,14.382903793821,2.08580968280467,1.63325300598005e-37,"FOSL1::JUNB",9.81208152054166e-36
"MA1138.1","MA1138.1",291,6878,29.1,13.7626060509044,2.11442512358244,2.76470531538703e-37,"FOSL2::JUNB",1.59943322319798e-35
"ENSG00000177606_LINE517_JUN_D_N5","ENSG00000177606_LINE517_JUN_D_N5",316,7863,31.6,15.7335521050104,2.00844664886176,1.19242023954701e-36,"JUN",6.65200147918726e-35
"ENSG00000126368_LINE2979_NR1D1_D","ENSG00000126368_LINE2979_NR1D1_D",300,7279,30,14.564991195774,2.05973347987361,1.73178359191743e-36,"NR1D1",9.3277447261208e-35
"ENSG00000075426_LINE328_FOSL2_D_N3","ENSG00000075426_LINE328_FOSL2_D_N3",315,7888,31.5,15.7835761165359,1.99574543610548,5.58970681845938e-36,"FOSL2",2.91037401681119e-34
"MA0478.1","MA0478.1",315,7895,31.5,15.7975828397631,1.99397593413553,6.63189468695734e-36,"FOSL2",3.3416191938798e-34
"MA1130.1","MA1130.1",291,7088,29.1,14.1828077477189,2.05177990970655,6.56099023857698e-35,"FOSL2::JUN",3.20258336020539e-33
"ENSG00000130522_LINE411_JUND_D_N6","ENSG00000130522_LINE411_JUND_D_N6",328,8522,32.8,17.0521850488234,1.92350715794414,1.39967305159295e-34,"JUND",6.62511911087331e-33
"MA0072.1","MA0072.1",228,4912,22.8,9.82871778453658,2.3197328990228,3.81982032762873e-34,"RORA",1.75487039757532e-32
"MA1134.1","MA1134.1",273,6533,27.3,13.0722746918521,2.08838940762284,1.00597344832714e-33,"FOS::JUNB",4.48951578939139e-32
"MA1142.1","MA1142.1",294,7317,29.4,14.6410276932928,2.00805576055761,1.21389152821754e-33,"FOSL1::JUND",5.26694046409945e-32
"MA0802.1","MA0802.1",305,7749,30.5,15.505442612454,1.96705123241709,1.81684036483663e-33,"TBR1",7.67001256722922e-32
"MA0800.1","MA0800.1",278,6745,27.8,13.4964783095886,2.05979659006672,2.10804921246294e-33,"EOMES",8.66519176280818e-32
"MA1566.2","MA1566.2",308,8009,30.8,16.0256923323195,1.92191384692221,5.26137504528621e-32,"TBX3",2.10724815916335e-30
"ENSG00000125740_LINE393_FOSB_D","ENSG00000125740_LINE393_FOSB_D",297,7685,29.7,15.3773811429486,1.9314081977879,4.89426311485359e-31,"FOSB",1.91120974635033e-29
