"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0139.1","MA0139.1",434,16270,43.4,32.5556267008164,1.3331028887523,3.08291247896501e-13,"CTCF",4.81550929214334e-10
"ENSG00000102974_LINE747_CTCF_D_N67","ENSG00000102974_LINE747_CTCF_D_N67",433,16697,43.3,33.4100368176725,1.29601772773552,3.13201227966589e-11,"CTCF",2.44610159041906e-08
"MA1981.1","MA1981.1",486,20215,48.6,40.4494157195454,1.20150066782093,8.42201445470614e-08,"ZNF530",3.47460422231559e-05
"ENSG00000124092_LINE881_CTCFL_D","ENSG00000124092_LINE881_CTCFL_D",377,15022,37.7,30.0584280454618,1.25422393822394,1.07507485853733e-07,"CTCFL",3.47460422231559e-05
"MA1929.1","MA1929.1",402,16208,40.2,32.4315671522331,1.23953307008885,1.11222926450563e-07,"CTCF",3.47460422231559e-05
"ENSG00000006194_LINE594_ZNF263_D_N2","ENSG00000006194_LINE594_ZNF263_D_N2",567,24929,56.7,49.8819433327997,1.13668386216856,7.46495443834144e-06,"ZNF263",0.00194337647211489
"ENSG00000181690_LINE1275_PLAG1_D_N1","ENSG00000181690_LINE1275_PLAG1_D_N1",322,13089,32.2,26.1905714743077,1.22945007258003,1.10449771295045e-05,"PLAG1",0.00246219919946307
"ENSG00000103495_LINE797_MAZ_D","ENSG00000103495_LINE797_MAZ_D",572,25272,57.2,50.56827277093,1.13114403292181,1.2610495259734e-05,"MAZ",0.00246219919946307
"MA0163.1","MA0163.1",328,13427,32.8,26.8668961101329,1.22083324644373,1.5969516793568e-05,"PLAG1",0.00277159835906147
"ENSG00000167182_LINE1077_SP2_D_N1","ENSG00000167182_LINE1077_SP2_D_N1",494,21560,49.4,43.140707539619,1.14509016697588,3.32386477197535e-05,"SP2",0.0051918767738255
"MA1930.1","MA1930.1",358,15025,35.8,30.0644309268449,1.19077590682196,4.75729895216917e-05,"CTCF",0.00675536451208022
"ENSG00000185591_LINE1321_SP1_D_N5","ENSG00000185591_LINE1321_SP1_D_N5",483,21155,48.3,42.3303185529054,1.14102614039234,6.94867235365849e-05,"SP1",0.00904485518034546
"MA1596.1","MA1596.1",534,23707,53.4,47.4367696494317,1.12570903108786,7.84558639776904e-05,"ZNF460",0.00942677381024249
"ENSG00000005889_LINE590_ZFX_D","ENSG00000005889_LINE590_ZFX_D",397,17022,39.7,34.0603489675044,1.1655781929268,9.66869430067809e-05,"ZFX",0.0107875003554708
"MA0079.5","MA0079.5",425,18532,42.5,37.0817992636465,1.14611482840492,0.000213859218349549,"SP1",0.0222698732707997
"MA1976.1","MA1976.1",425,18547,42.5,37.1118136705619,1.14518790100825,0.000230605823619924,"ZNF320",0.0225128935308951
"MA1723.1","MA1723.1",568,25694,56.8,51.412678085481,1.10478586440414,0.000316245363006528,"PRDM9",0.0290573680597763
"MA0516.3","MA0516.3",412,18130,41.2,36.277413158316,1.13569288472146,0.000657567158193373,"SP2",0.0570622167276693
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",492,22077,49.2,44.175204097967,1.11374697649137,0.000707837023321312,"PURA",0.0581916542330468
"ENSG00000102554_LINE710_KLF5_D","ENSG00000102554_LINE710_KLF5_D",484,21847,48.4,43.7149831919321,1.1071718771456,0.00145729857314024,"KLF5",0.113658043569403
"MA0471.2","MA0471.2",343,14973,34.3,29.9603809828718,1.14484525479196,0.00154431119018375,"E2F6",0.113658043569403
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",505,22916,50.5,45.8540099247639,1.10132134753011,0.00163192188549876,"ZNF148",0.113658043569403
"MA1522.1","MA1522.1",426,19023,42.6,38.064270850008,1.11915975398202,0.00167358194756483,"MAZ",0.113658043569403
"MA1961.1","MA1961.1",451,20303,45.1,40.6255002401153,1.11014017632862,0.00208250398517792,"PATZ1",0.135282539173969
"ENSG00000172845_LINE1170_SP3_D_N1","ENSG00000172845_LINE1170_SP3_D_N1",422,18888,42.2,37.7941411877701,1.11657518000847,0.00216521349510194,"SP3",0.135282539173969
"MA1102.2","MA1102.2",321,14016,32.1,28.0454618216744,1.14457020547945,0.00243947197207368,"CTCFL",0.146555970014581
"MA1965.1","MA1965.1",472,21392,47.2,42.8045461821674,1.1026866118175,0.00258031239341974,"SP5",0.149275850315616
"ENSG00000067646_LINE629_ZFY_I","ENSG00000067646_LINE629_ZFY_I",363,16075,36.3,32.1654394109172,1.12854046656299,0.00281206126411152,"ZFY",0.153443044196165
"MA1653.1","MA1653.1",468,21219,46.8,42.4583800224108,1.10225590272869,0.00284881452092753,"ZNF148",0.153443044196165
"MA0597.2","MA0597.2",341,15028,34.1,30.0704338082279,1.13400425871706,0.00302690144418293,"THAP1",0.157600668527125
"ENSG00000178951_LINE1236_ZBTB7A_D_N1","ENSG00000178951_LINE1236_ZBTB7A_D_N1",377,16797,37.7,33.6101328637746,1.12168553908436,0.00335463021559822,"ZBTB7A",0.169030077314981
