"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1978.1","MA1978.1",124,1334,62,44.4666666666667,1.39430284857571,1.89794462280251e-07,"ZNF354A",0.000166285860460809
"MA1152.1","MA1152.1",92,883,46,29.4333333333333,1.56285390713477,2.12914033880677e-07,"SOX15",0.000166285860460809
"MA0523.1","MA0523.1",86,815,43,27.1666666666667,1.58282208588957,4.22957070157007e-07,"TCF7L2",0.000220219647861748
"ENSG00000143842_LINE3408_SOX13_D","ENSG00000143842_LINE3408_SOX13_D",56,452,28,15.0666666666667,1.85840707964602,7.92277843602895e-07,"SOX13",0.00030938449792693
"ENSG00000081189_LINE2787_MEF2C_D_N3","ENSG00000081189_LINE2787_MEF2C_D_N3",118,1281,59,42.7,1.38173302107728,1.17810824960295e-06,"MEF2C",0.000356152470167107
"ENSG00000165556_LINE2444_CDX2_D_N3","ENSG00000165556_LINE2444_CDX2_D_N3",71,644,35.5,21.4666666666667,1.65372670807453,1.60403516314742e-06,"CDX2",0.000356152470167107
"ENSG00000184895_LINE3448_SRY_D_N3","ENSG00000184895_LINE3448_SRY_D_N3",96,974,48,32.4666666666667,1.47843942505133,1.6423755854438e-06,"SRY",0.000356152470167107
"MA0497.1","MA0497.1",118,1290,59,43,1.37209302325581,1.82408435424895e-06,"MEF2C",0.000356152470167107
"MA0052.4","MA0052.4",122,1358,61,45.2666666666667,1.34756995581738,2.72639044883007e-06,"MEF2A",0.000473180209008064
"MA0901.2","MA0901.2",102,1072,51,35.7333333333333,1.42723880597015,3.41523880841381e-06,"HOXB13",0.000485735646297713
"ENSG00000134532_LINE3398_SOX5_D_N2","ENSG00000134532_LINE3398_SOX5_D_N2",53,438,26.5,14.6,1.81506849315069,3.73164388961111e-06,"SOX5",0.000485735646297713
"ENSG00000110693_LINE19574_SOX6_I_N7","ENSG00000110693_LINE19574_SOX6_I_N7",53,438,26.5,14.6,1.81506849315069,3.73164388961111e-06,"SOX6",0.000485735646297713
"MA1125.1","MA1125.1",144,1719,72,57.3,1.2565445026178,6.41410852699675e-06,"ZNF384",0.000764201023063816
"MA0488.1","MA0488.1",73,694,36.5,23.1333333333333,1.57780979827089,6.84943298520706e-06,"JUN",0.000764201023063816
"ENSG00000141905_LINE3315_NFIC_D","ENSG00000141905_LINE3315_NFIC_D",137,1614,68.5,53.8,1.27323420074349,8.57318292079075e-06,"NFIC",0.000861020195740541
"ENSG00000148737_LINE3416_TCF7L2_D_N2","ENSG00000148737_LINE3416_TCF7L2_D_N2",83,831,41.5,27.7,1.49819494584838,9.29438691312574e-06,"TCF7L2",0.000861020195740541
"ENSG00000138795_LINE3404_LEF1_D_N1","ENSG00000138795_LINE3404_LEF1_D_N1",85,858,42.5,28.6,1.48601398601399,9.37089841715058e-06,"LEF1",0.000861020195740541
"MA0041.2","MA0041.2",114,1268,57,42.2666666666667,1.34858044164038,1.01343204066259e-05,"FOXD3",0.000879433804174985
"MA0442.2","MA0442.2",94,984,47,32.8,1.43292682926829,1.08765113851853e-05,"SOX10",0.000894163725455762
"ENSG00000128709_LINE2319_HOXD9_D","ENSG00000128709_LINE2319_HOXD9_D",66,615,33,20.5,1.60975609756098,1.22978046712921e-05,"HOXD9",0.000960458544827914
"MA1709.1","MA1709.1",110,1217,55,40.5666666666667,1.35579293344289,1.41481453443351e-05,"ZIM3",0.00105235252513578
"ENSG00000169981_LINE1124_ZNF35_I","ENSG00000169981_LINE1124_ZNF35_I",104,1133,52,37.7666666666667,1.37687555163283,1.58681577201697e-05,"ZNF35",0.00112663919813205
"MA1970.1","MA1970.1",62,579,31,19.3,1.60621761658031,2.79803413905771e-05,"TRPS1",0.00178855885820242
"ENSG00000138378_LINE3487_STAT4_D_N1","ENSG00000138378_LINE3487_STAT4_D_N1",65,617,32.5,20.5666666666667,1.58022690437601,2.80948949147097e-05,"STAT4",0.00178855885820242
