"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000172273_LINE1160_HINFP_D_N3","ENSG00000172273_LINE1160_HINFP_D_N3",2,103,2,2.06123674204523,0.970291262135922,0.616002432052539,"HINFP",1
"MA0077.1","MA0077.1",7,404,7,8.08485091054633,0.865816831683168,0.709909639398816,"SOX9",1
"ENSG00000176887_LINE3434_SOX11_I","ENSG00000176887_LINE3434_SOX11_I",9,542,9,10.8465079047428,0.829760147601476,0.771839490763817,"SOX11",1
"MA0861.1","MA0861.1",6,382,6,7.64458675205123,0.784869109947644,0.787647102014632,"TP73",1
"ENSG00000174576_LINE275_NPAS4_I","ENSG00000174576_LINE275_NPAS4_I",2,147,2,2.94176505903542,0.679863945578231,0.799470601334184,"NPAS4",1
"MA1562.1","MA1562.1",5,331,5,6.62397438463078,0.754833836858006,0.802168406644313,"SOX14",1
"MA0888.1","MA0888.1",3,216,3,4.32259355613368,0.694027777777778,0.81464646768253,"EVX2",1
"ENSG00000174279_LINE2489_EVX2_D","ENSG00000174279_LINE2489_EVX2_D",3,217,3,4.342605563338,0.690829493087558,0.817120949655405,"EVX2",1
"MA1466.1","MA1466.1",4,281,4,5.62337402441465,0.711316725978648,0.822748182419976,"ATF6",1
"ENSG00000106038_LINE2221_EVX1_D","ENSG00000106038_LINE2221_EVX1_D",3,222,3,4.44266559935962,0.67527027027027,0.829082343349498,"EVX1",1
"ENSG00000197062_LINE3797_ZNF187_I","ENSG00000197062_LINE3797_ZNF187_I",2,161,2,3.22193315989594,0.620745341614907,0.839118066458689,"ZNF187",1
"MA0887.1","MA0887.1",3,227,3,4.54272563538123,0.660396475770925,0.840376955429765,"EVX1",1
"ENSG00000197063_LINE538_MAFG_D_N1","ENSG00000197063_LINE538_MAFG_D_N1",5,359,5,7.18431058635181,0.695961002785515,0.855670792324364,"MAFG",1
"MA0907.1","MA0907.1",6,425,6,8.5051030618371,0.705458823529412,0.864872719662353,"HOXC13",1
"ENSG00000133740_LINE1773_E2F5_D","ENSG00000133740_LINE1773_E2F5_D",2,173,2,3.46207724634781,0.577687861271676,0.867361670976508,"E2F5",1
"MA1520.1","MA1520.1",6,427,6,8.54512707624575,0.702154566744731,0.867825851508292,"MAF",1
"ENSG00000082641_LINE332_NFE2L1_D_N2","ENSG00000082641_LINE332_NFE2L1_D_N2",6,436,6,8.72523514108465,0.687660550458716,0.880471022290321,"NFE2L1",1
"ENSG00000050344_LINE1236_NFE2L3_I_N2","ENSG00000050344_LINE1236_NFE2L3_I_N2",6,436,6,8.72523514108465,0.687660550458716,0.880471022290321,"NFE2L3",1
"MA1497.1","MA1497.1",3,251,3,5.02301380828497,0.597250996015936,0.886116872972001,"HOXA6",1
"MA1602.1","MA1602.1",3,256,3,5.12307384430658,0.5855859375,0.894049917868406,"ZSCAN29",1
"MA1120.1","MA1120.1",6,448,6,8.96537922753652,0.669241071428571,0.895763259095593,"SOX13",1
"MA0143.4","MA0143.4",6,450,6,9.00540324194517,0.666266666666667,0.898145802451486,"SOX2",1
"MA1553.1","MA1553.1",4,325,4,6.50390234140484,0.615015384615385,0.898692443987534,"RARG",1
"MA0910.2","MA0910.2",2,195,2,3.90234140484291,0.512512820512821,0.907729137580976,"HOXD8",1
"ENSG00000066136_LINE3604_NFYC_D","ENSG00000066136_LINE3604_NFYC_D",8,581,8,11.6269761857114,0.688055077452668,0.909170642764681,"NFYC",1
"ENSG00000162624_LINE2410_LHX8_I","ENSG00000162624_LINE2410_LHX8_I",5,398,5,7.96477886732039,0.627763819095477,0.909898189594021,"LHX8",1
"ENSG00000170577_LINE2480_SIX2_I","ENSG00000170577_LINE2480_SIX2_I",1,123,1,2.46147688613168,0.406260162601626,0.91934846976673,"SIX2",1
"ENSG00000108924_LINE356_HLF_D_N4","ENSG00000108924_LINE356_HLF_D_N4",3,278,3,5.56333800280168,0.539244604316547,0.923426675445079,"HLF",1
"MA0906.1","MA0906.1",3,278,3,5.56333800280168,0.539244604316547,0.923426675445079,"HOXC12",1
"MA0839.1","MA0839.1",4,346,4,6.92415449269562,0.577687861271676,0.923703731147487,"CREB3L1",1
"MA0877.3","MA0877.3",1,127,1,2.54152491494897,0.393464566929134,0.925768375129862,"BARHL1",1
"ENSG00000108511_LINE2245_HOXB6_D","ENSG00000108511_LINE2245_HOXB6_D",6,477,6,9.54572743646188,0.628553459119497,0.926071892400813,"HOXB6",1
"ENSG00000185697_LINE2870_MYBL1_D_N1","ENSG00000185697_LINE2870_MYBL1_D_N1",1,128,1,2.56153692215329,0.390390625,0.927292638474218,"MYBL1",1
"ENSG00000106852_LINE2232_LHX6_D_N1","ENSG00000106852_LINE2232_LHX6_D_N1",3,283,3,5.66339803882329,0.529717314487632,0.928982190514728,"LHX6",1
"MA0479.1","MA0479.1",8,606,8,12.1272763658195,0.6596699669967,0.930979611683769,"FOXH1",1
"MA0060.3","MA0060.3",5,419,5,8.38503101861117,0.596300715990454,0.931066898589907,"NFYA",1
"MA0724.1","MA0724.1",2,213,2,4.26255753452071,0.469201877934272,0.931958024317014,"VENTX",1
"ENSG00000198353_LINE2554_HOXC5_I","ENSG00000198353_LINE2554_HOXC5_I",3,287,3,5.74344606764058,0.522334494773519,0.933160800115236,"HOXC5",1
"ENSG00000157613_LINE447_CREB3L1_D_N3","ENSG00000157613_LINE447_CREB3L1_D_N3",4,356,4,7.12427456473884,0.561460674157303,0.933567909447935,"CREB3L1",1
"ENSG00000113430_LINE2265_IRX4_I","ENSG00000113430_LINE2265_IRX4_I",1,133,1,2.6615969581749,0.375714285714286,0.934461362365679,"IRX4",1
"ENSG00000159387_LINE2406_IRX6_I","ENSG00000159387_LINE2406_IRX6_I",1,133,1,2.6615969581749,0.375714285714286,0.934461362365679,"IRX6",1
"ENSG00000160973_LINE2004_FOXH1_D","ENSG00000160973_LINE2004_FOXH1_D",8,611,8,12.2273364018411,0.654271685761048,0.934760159282716,"FOXH1",1
"MA1495.1","MA1495.1",1,134,1,2.68160896537923,0.372910447761194,0.935808785014411,"HOXA1",1
"MA0612.2","MA0612.2",1,134,1,2.68160896537923,0.372910447761194,0.935808785014411,"EMX1",1
"MA0900.2","MA0900.2",1,134,1,2.68160896537923,0.372910447761194,0.935808785014411,"HOXA2",1
"MA0904.2","MA0904.2",1,134,1,2.68160896537923,0.372910447761194,0.935808785014411,"HOXB5",1
"MA1570.1","MA1570.1",3,292,3,5.8435061036622,0.513390410958904,0.938069359341148,"TFAP4",1
"ENSG00000125817_LINE1666_CENPB_D","ENSG00000125817_LINE1666_CENPB_D",2,222,2,4.44266559935962,0.45018018018018,0.941707121281195,"CENPB",1
"MA1718.1","MA1718.1",5,434,5,8.68521112667601,0.575691244239631,0.943388014566862,"ZNF8",1
"MA1937.1","MA1937.1",5,437,5,8.74524714828897,0.571739130434783,0.945603794473242,"ERF::HOXB13",1
"MA1474.1","MA1474.1",4,372,4,7.444466680008,0.537311827956989,0.946998944216081,"CREB3L4",1
"ENSG00000073861_LINE3513_TBX21_D_N2","ENSG00000073861_LINE3513_TBX21_D_N2",2,230,2,4.6027616569942,0.434521739130435,0.949256119521377,"TBX21",1
"ENSG00000175387_LINE3330_SMAD2_D","ENSG00000175387_LINE3330_SMAD2_D",14,990,14,19.8118871322794,0.706646464646465,0.950174358293254,"SMAD2",1
"MA0525.2","MA0525.2",2,233,2,4.66279767860716,0.42892703862661,0.951841603293406,"TP63",1
"ENSG00000178403_LINE282_NEUROG2_D_N2","ENSG00000178403_LINE282_NEUROG2_D_N2",3,311,3,6.22373424054433,0.482025723472669,0.953865757791447,"NEUROG2",1
"MA1957.1","MA1957.1",4,383,4,7.66459875925555,0.521879895561358,0.9547574369919,"HOXB2::ELK1",1
"MA1509.1","MA1509.1",1,151,1,3.02181308785271,0.330927152317881,0.954937288993337,"IRF6",1
"MA0106.3","MA0106.3",3,313,3,6.26375825495297,0.478945686900958,0.955292144562915,"TP53",1
"MA0827.1","MA0827.1",2,238,2,4.76285771462878,0.419915966386555,0.955876270872121,"OLIG3",1
"MA0140.2","MA0140.2",5,453,5,9.06543926355813,0.551545253863135,0.956167057537371,"GATA1::TAL1",1
"ENSG00000196460_LINE3266_RFX8_I","ENSG00000196460_LINE3266_RFX8_I",6,519,6,10.3862317390434,0.577687861271676,0.956379514693349,"RFX8",1
