"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000092607_LINE3528_TBX15_D_N1","ENSG00000092607_LINE3528_TBX15_D_N1",25,650,25,13,1.92307692307692,0.000751763812019166,"TBX15",0.391418358124646
"ENSG00000112837_LINE19949_TBX18_I_N1","ENSG00000112837_LINE19949_TBX18_I_N1",25,650,25,13,1.92307692307692,0.000751763812019166,"TBX18",0.391418358124646
"ENSG00000122145_LINE20002_TBX22_I_N1","ENSG00000122145_LINE20002_TBX22_I_N1",25,650,25,13,1.92307692307692,0.000751763812019166,"TBX22",0.391418358124646
"ENSG00000105856_LINE3361_HBP1_D","ENSG00000105856_LINE3361_HBP1_D",18,431,18,8.62,2.08816705336427,0.00192379945429994,"HBP1",0.738315857151036
"MA0149.1","MA0149.1",66,2582,66,51.64,1.27807900852053,0.00236336702032982,"EWSR1-FLI1",0.738315857151036
"MA1725.1","MA1725.1",37,1233,37,24.66,1.50040551500406,0.00374238636045712,"ZNF189",0.868249471016792
"ENSG00000167840_LINE1104_ZNF232_D","ENSG00000167840_LINE1104_ZNF232_D",21,582,21,11.64,1.80412371134021,0.00472760015420641,"ZNF232",0.868249471016792
"ENSG00000100146_LINE3352_SOX10_D_N1","ENSG00000100146_LINE3352_SOX10_D_N1",26,784,26,15.68,1.65816326530612,0.00499214543807648,"SOX10",0.868249471016792
"ENSG00000164532_LINE3549_TBX20_D_N2","ENSG00000164532_LINE3549_TBX20_D_N2",29,909,29,18.18,1.59515951595159,0.00506495922179045,"TBX20",0.868249471016792
"ENSG00000184058_LINE3555_TBX1_D_N1","ENSG00000184058_LINE3555_TBX1_D_N1",40,1395,40,27.9,1.4336917562724,0.00555857535862223,"TBX1",0.868249471016792
"ENSG00000057657_LINE611_PRDM1_D_N4","ENSG00000057657_LINE611_PRDM1_D_N4",56,2168,56,43.36,1.29151291512915,0.00689530716122216,"PRDM1",0.930559107449475
"MA1723.1","MA1723.1",72,3008,72,60.16,1.1968085106383,0.00863642069346358,"PRDM9",0.930559107449475
"MA0469.3","MA0469.3",6,92,6,1.84,3.26086956521739,0.00982001990466257,"E2F3",0.930559107449475
"MA1418.1","MA1418.1",39,1394,39,27.88,1.39885222381636,0.00985889819879089,"IRF3",0.930559107449475
"MA1987.1","MA1987.1",54,2104,54,42.08,1.28326996197719,0.0101119538029798,"ZNF701",0.930559107449475
"MA0482.2","MA0482.2",24,745,24,14.9,1.61073825503356,0.0102763290275875,"GATA4",0.930559107449475
"MA0689.1","MA0689.1",30,1002,30,20.04,1.49700598802395,0.0108420465966847,"TBX20",0.930559107449475
"ENSG00000019549_LINE604_SNAI2_D_N2","ENSG00000019549_LINE604_SNAI2_D_N2",49,1876,49,37.52,1.30597014925373,0.0117796807058158,"SNAI2",0.930559107449475
"ENSG00000120149_LINE2295_MSX2_D_N2","ENSG00000120149_LINE2295_MSX2_D_N2",14,366,14,7.32,1.91256830601093,0.0133735936057715,"MSX2",0.930559107449475
"MA0666.2","MA0666.2",14,366,14,7.32,1.91256830601093,0.0133735936057715,"MSX1",0.930559107449475
"MA0155.1","MA0155.1",40,1466,40,29.32,1.36425648021828,0.013550813488759,"INSM1",0.930559107449475
"ENSG00000173404_LINE1178_INSM1_D_N2","ENSG00000173404_LINE1178_INSM1_D_N2",40,1467,40,29.34,1.36332651670075,0.0137106385506549,"INSM1",0.930559107449475
"ENSG00000169136_LINE475_ATF5_D","ENSG00000169136_LINE475_ATF5_D",43,1607,43,32.14,1.33789670192906,0.0138688549822365,"ATF5",0.930559107449475
"ENSG00000125285_LINE3375_SOX21_D_N1","ENSG00000125285_LINE3375_SOX21_D_N1",24,766,24,15.32,1.56657963446475,0.0142979632386603,"SOX21",0.930559107449475
"MA0708.2","MA0708.2",15,411,15,8.22,1.82481751824818,0.0156893911970451,"MSX2",0.940935864275751
"MA1521.1","MA1521.1",18,530,18,10.6,1.69811320754717,0.0164322415373964,"MAFA",0.940935864275751
"ENSG00000168269_LINE2010_FOXI1_D_N2","ENSG00000168269_LINE2010_FOXI1_D_N2",41,1533,41,30.66,1.33724722765819,0.0171928635415786,"FOXI1",0.940935864275751
"MA0866.1","MA0866.1",22,696,22,13.92,1.58045977011494,0.0174948320679208,"SOX21",0.940935864275751
"MA1977.1","MA1977.1",31,1099,31,21.98,1.41037306642402,0.0217669837242654,"ZNF324",0.940935864275751
"ENSG00000129173_LINE1772_E2F8_D","ENSG00000129173_LINE1772_E2F8_D",19,588,19,11.76,1.6156462585034,0.0222302265529067,"E2F8",0.940935864275751
"MA0875.1","MA0875.1",12,316,12,6.32,1.89873417721519,0.0228040623916632,"BARX1",0.940935864275751
"ENSG00000235187_LINE1928_ENSG00000235187_I","ENSG00000235187_LINE1928_ENSG00000235187_I",17,509,17,10.18,1.66994106090373,0.0228446997687439,"ENSG00000235187",0.940935864275751
"ENSG00000188909_LINE2550_BSX_D","ENSG00000188909_LINE2550_BSX_D",11,280,11,5.6,1.96428571428571,0.0231705457592524,"BSX",0.940935864275751
"MA0876.1","MA0876.1",11,280,11,5.6,1.96428571428571,0.0231705457592524,"BSX",0.940935864275751
"ENSG00000204527_LINE2558_DUXA_D","ENSG00000204527_LINE2558_DUXA_D",19,593,19,11.86,1.60202360876897,0.0240808556391141,"DUXA",0.940935864275751
"MA1121.1","MA1121.1",20,636,20,12.72,1.57232704402516,0.024799399838509,"TEAD2",0.940935864275751
"ENSG00000153779_LINE2398_TGIF2LX_D","ENSG00000153779_LINE2398_TGIF2LX_D",21,681,21,13.62,1.54185022026432,0.0261038055149329,"TGIF2LX",0.940935864275751
"ENSG00000176679_LINE2500_TGIF2LY_I","ENSG00000176679_LINE2500_TGIF2LY_I",21,681,21,13.62,1.54185022026432,0.0261038055149329,"TGIF2LY",0.940935864275751
"MA0700.2","MA0700.2",14,399,14,7.98,1.75438596491228,0.0264029841901279,"LHX2",0.940935864275751
"ENSG00000108511_LINE2245_HOXB6_D","ENSG00000108511_LINE2245_HOXB6_D",18,558,18,11.16,1.61290322580645,0.0264060674099607,"HOXB6",0.940935864275751
"ENSG00000112242_LINE1768_E2F3_D_N1","ENSG00000112242_LINE1768_E2F3_D_N1",12,323,12,6.46,1.85758513931889,0.0265344280654484,"E2F3",0.940935864275751
"MA0827.1","MA0827.1",12,323,12,6.46,1.85758513931889,0.0265344280654484,"OLIG3",0.940935864275751
"MA0081.2","MA0081.2",58,2397,58,47.94,1.20984564038381,0.0265791333369683,"SPIB",0.940935864275751
"ENSG00000185022_LINE534_MAFF_D_N2","ENSG00000185022_LINE534_MAFF_D_N2",23,770,23,15.4,1.49350649350649,0.02785641411514,"MAFF",0.940935864275751
"MA1709.1","MA1709.1",44,1721,44,34.42,1.27832655432888,0.0282550344957771,"ZIM3",0.940935864275751
"ENSG00000140044_LINE415_JDP2_D_N2","ENSG00000140044_LINE415_JDP2_D_N2",19,604,19,12.08,1.57284768211921,0.02857075445955,"JDP2",0.940935864275751
"ENSG00000203883_LINE3459_SOX18_D_N1","ENSG00000203883_LINE3459_SOX18_D_N1",23,772,23,15.44,1.48963730569948,0.0286251061926365,"SOX18",0.940935864275751
"ENSG00000186766_LINE2049_FOXI2_I","ENSG00000186766_LINE2049_FOXI2_I",38,1444,38,28.88,1.31578947368421,0.0295416406724663,"FOXI2",0.940935864275751
"ENSG00000122592_LINE2299_HOXA7_D","ENSG00000122592_LINE2299_HOXA7_D",11,291,11,5.82,1.89003436426117,0.0297441447071593,"HOXA7",0.940935864275751
"MA1654.1","MA1654.1",36,1359,36,27.18,1.32450331125828,0.0319033232036198,"ZNF16",0.940935864275751
"ENSG00000072736_LINE3185_NFATC3_D_N2","ENSG00000072736_LINE3185_NFATC3_D_N2",27,955,27,19.1,1.41361256544503,0.0323869526436178,"NFATC3",0.940935864275751
"ENSG00000025156_LINE2707_HSF2_D_N2","ENSG00000025156_LINE2707_HSF2_D_N2",21,697,21,13.94,1.506456241033,0.0327868283987063,"HSF2",0.940935864275751
"ENSG00000164093_LINE2428_PITX2_D","ENSG00000164093_LINE2428_PITX2_D",31,1136,31,22.72,1.36443661971831,0.0335226271957312,"PITX2",0.940935864275751
"ENSG00000154727_LINE1896_GABPA_D_N7","ENSG00000154727_LINE1896_GABPA_D_N7",20,661,20,13.22,1.51285930408472,0.0357332970235177,"GABPA",0.940935864275751
"ENSG00000106410_LINE2223_NOBOX_D_N2","ENSG00000106410_LINE2223_NOBOX_D_N2",14,416,14,8.32,1.68269230769231,0.036022692962014,"NOBOX",0.940935864275751
"ENSG00000176083_LINE1197_ZNF683_I","ENSG00000176083_LINE1197_ZNF683_I",46,1845,46,36.9,1.24661246612466,0.0371662731300832,"ZNF683",0.940935864275751
"MA1532.2","MA1532.2",23,792,23,15.84,1.4520202020202,0.0372468477469505,"NR1D2",0.940935864275751
"ENSG00000101076_LINE2936_HNF4A_D_N7","ENSG00000101076_LINE2936_HNF4A_D_N7",31,1146,31,22.92,1.35253054101222,0.0374306983376408,"HNF4A",0.940935864275751
"MA0070.1","MA0070.1",16,499,16,9.98,1.60320641282565,0.0377114683044739,"PBX1",0.940935864275751
"ENSG00000043039_LINE2171_BARX2_D","ENSG00000043039_LINE2171_BARX2_D",20,665,20,13.3,1.50375939849624,0.0377759404111913,"BARX2",0.940935864275751
"MA0819.2","MA0819.2",16,501,16,10.02,1.59680638722555,0.0389222176808807,"CLOCK",0.940935864275751
"MA0737.1","MA0737.1",18,584,18,11.68,1.54109589041096,0.0393116156491858,"GLIS3",0.940935864275751
"MA1578.1","MA1578.1",23,798,23,15.96,1.44110275689223,0.0401838089867528,"VEZF1",0.940935864275751
"MA0139.1","MA0139.1",41,1624,41,32.48,1.26231527093596,0.0436476253365495,"CTCF",0.940935864275751
"ENSG00000187079_LINE3576_TEAD1_D_N3","ENSG00000187079_LINE3576_TEAD1_D_N3",21,719,21,14.38,1.46036161335188,0.0440123346047724,"TEAD1",0.940935864275751
"MA0143.4","MA0143.4",16,509,16,10.18,1.57170923379175,0.0440514148586381,"SOX2",0.940935864275751
"MA1520.1","MA1520.1",16,511,16,10.22,1.56555772994129,0.0454068680391925,"MAF",0.940935864275751
"MA0528.2","MA0528.2",52,2160,52,43.2,1.2037037037037,0.045809560580085,"ZNF263",0.940935864275751
"MA1566.2","MA1566.2",27,985,27,19.7,1.37055837563452,0.0458613180503384,"TBX3",0.940935864275751
"MA1731.1","MA1731.1",44,1775,44,35.5,1.23943661971831,0.0470765127138088,"ZNF768",0.940935864275751
"MA0036.3","MA0036.3",19,640,19,12.8,1.484375,0.0477985384575051,"GATA2",0.940935864275751
"ENSG00000135363_LINE3654_LMO2_D_N1","ENSG00000135363_LINE3654_LMO2_D_N1",39,1540,39,30.8,1.26623376623377,0.0480572166104495,"LMO2",0.940935864275751
"ENSG00000064218_LINE1728_DMRT3_D","ENSG00000064218_LINE1728_DMRT3_D",15,474,15,9.48,1.58227848101266,0.0482675965291152,"DMRT3",0.940935864275751
"MA0610.1","MA0610.1",15,474,15,9.48,1.58227848101266,0.0482675965291152,"DMRT3",0.940935864275751
"MA1572.1","MA1572.1",13,394,13,7.88,1.6497461928934,0.0488972840074678,"TGIF2LY",0.940935864275751
"ENSG00000185669_LINE1323_SNAI3_I","ENSG00000185669_LINE1323_SNAI3_I",23,815,23,16.3,1.41104294478528,0.0494542838254629,"SNAI3",0.940935864275751
"ENSG00000037965_LINE2170_HOXC8_D","ENSG00000037965_LINE2170_HOXC8_D",14,435,14,8.7,1.60919540229885,0.0495512124945765,"HOXC8",0.940935864275751
"ENSG00000129194_LINE3392_SOX15_D_N1","ENSG00000129194_LINE3392_SOX15_D_N1",22,773,22,15.46,1.42302716688228,0.0503990995903387,"SOX15",0.940935864275751
"MA1484.1","MA1484.1",15,478,15,9.56,1.56903765690377,0.0513178010225827,"ETS2",0.940935864275751
"MA1120.1","MA1120.1",16,521,16,10.42,1.53550863723608,0.0526383190833089,"SOX13",0.940935864275751
"ENSG00000107249_LINE815_GLIS3_D_N1","ENSG00000107249_LINE815_GLIS3_D_N1",15,480,15,9.6,1.5625,0.0528930100069307,"GLIS3",0.940935864275751
"MA0642.2","MA0642.2",10,281,10,5.62,1.77935943060498,0.0529887167567206,"EN2",0.940935864275751
"ENSG00000136826_LINE939_KLF4_D","ENSG00000136826_LINE939_KLF4_D",54,2279,54,45.58,1.18473014480035,0.0543701163760762,"KLF4",0.940935864275751
"ENSG00000123358_LINE2973_NR4A1_D","ENSG00000123358_LINE2973_NR4A1_D",26,957,26,19.14,1.35841170323929,0.0550399637642999,"NR4A1",0.940935864275751
"ENSG00000130675_LINE2327_MNX1_D","ENSG00000130675_LINE2327_MNX1_D",22,781,22,15.62,1.40845070422535,0.0554660127823103,"MNX1",0.940935864275751
"MA0671.1","MA0671.1",16,525,16,10.5,1.52380952380952,0.05574820076535,"NFIX",0.940935864275751
"ENSG00000099326_LINE684_MZF1_D_N3","ENSG00000099326_LINE684_MZF1_D_N3",35,1371,35,27.42,1.2764405543399,0.0568978511797655,"MZF1",0.940935864275751
"MA1708.1","MA1708.1",28,1050,28,21,1.33333333333333,0.0569217756689406,"ETV7",0.940935864275751
"ENSG00000119866_LINE848_BCL11A_D","ENSG00000119866_LINE848_BCL11A_D",52,2191,52,43.82,1.18667275216796,0.0594237660728502,"BCL11A",0.940935864275751
"ENSG00000127152_LINE1229_BCL11B_I","ENSG00000127152_LINE1229_BCL11B_I",52,2191,52,43.82,1.18667275216796,0.0594237660728502,"BCL11B",0.940935864275751
"ENSG00000106004_LINE2211_HOXA5_D_N1","ENSG00000106004_LINE2211_HOXA5_D_N1",17,573,17,11.46,1.48342059336824,0.0605655982956182,"HOXA5",0.940935864275751
"ENSG00000181449_LINE3441_SOX2_D_N2","ENSG00000181449_LINE3441_SOX2_D_N2",20,703,20,14.06,1.42247510668563,0.0617542663683992,"SOX2",0.940935864275751
"MA0473.3","MA0473.3",52,2196,52,43.92,1.183970856102,0.0618864230613226,"ELF1",0.940935864275751
"ENSG00000108753_LINE2249_HNF1B_D_N3","ENSG00000108753_LINE2249_HNF1B_D_N3",17,575,17,11.5,1.47826086956522,0.0622016741247848,"HNF1B",0.940935864275751
"ENSG00000115844_LINE2275_DLX2_D_N1","ENSG00000115844_LINE2275_DLX2_D_N1",11,329,11,6.58,1.67173252279635,0.0627194528591282,"DLX2",0.940935864275751
"ENSG00000163132_LINE2419_MSX1_D_N2","ENSG00000163132_LINE2419_MSX1_D_N2",11,329,11,6.58,1.67173252279635,0.0627194528591282,"MSX1",0.940935864275751
"MA0836.2","MA0836.2",16,534,16,10.68,1.49812734082397,0.0632142824029047,"CEBPD",0.940935864275751
"ENSG00000185507_LINE2759_IRF7_D_N1","ENSG00000185507_LINE2759_IRF7_D_N1",23,837,23,16.74,1.37395459976105,0.0636845268373877,"IRF7",0.940935864275751
"MA0777.1","MA0777.1",5,108,5,2.16,2.31481481481481,0.0641975255628423,"MYBL2",0.940935864275751
"MA0826.1","MA0826.1",8,216,8,4.32,1.85185185185185,0.0661486545439992,"OLIG1",0.940935864275751
"MA1962.1","MA1962.1",29,1112,29,22.24,1.30395683453237,0.0672354951267007,"POU2F1::SOX2",0.940935864275751
"ENSG00000109787_LINE818_KLF3_D","ENSG00000109787_LINE818_KLF3_D",34,1343,34,26.86,1.26582278481013,0.0674876658493033,"KLF3",0.940935864275751
"ENSG00000136535_LINE3540_TBR1_D_N2","ENSG00000136535_LINE3540_TBR1_D_N2",24,888,24,17.76,1.35135135135135,0.0684119663919054,"TBR1",0.940935864275751
"ENSG00000169953_LINE2710_HSFY2_D_N2","ENSG00000169953_LINE2710_HSFY2_D_N2",5,111,5,2.22,2.25225225225225,0.0704982898823034,"HSFY2",0.940935864275751
"ENSG00000172468_LINE2715_HSFY1_I","ENSG00000172468_LINE2715_HSFY1_I",5,111,5,2.22,2.25225225225225,0.0704982898823034,"HSFY1",0.940935864275751
"MA1470.1","MA1470.1",11,337,11,6.74,1.63204747774481,0.0719138476853126,"BACH2",0.940935864275751
"ENSG00000118707_LINE2283_TGIF2_D","ENSG00000118707_LINE2283_TGIF2_D",19,673,19,13.46,1.41158989598811,0.072485813760004,"TGIF2",0.940935864275751
"MA0144.2","MA0144.2",34,1352,34,27.04,1.25739644970414,0.0731561186581089,"STAT3",0.940935864275751
"ENSG00000162086_LINE1032_ZNF75A_D","ENSG00000162086_LINE1032_ZNF75A_D",32,1259,32,25.18,1.27084988085782,0.0731720905741181,"ZNF75A",0.940935864275751
"ENSG00000186376_LINE1345_ZNF75D_I","ENSG00000186376_LINE1345_ZNF75D_I",32,1259,32,25.18,1.27084988085782,0.0731720905741181,"ZNF75D",0.940935864275751
"ZN75C_HUMAN_LINE4118_ZNF75C_I","ZN75C_HUMAN_LINE4118_ZNF75C_I",32,1259,32,25.18,1.27084988085782,0.0731720905741181,"LINE4118",0.940935864275751
"ENSG00000168310_LINE2755_IRF2_D_N2","ENSG00000168310_LINE2755_IRF2_D_N2",28,1076,28,21.52,1.30111524163569,0.0738085185483015,"IRF2",0.940935864275751
"MA1571.1","MA1571.1",13,420,13,8.4,1.54761904761905,0.0738383841006091,"TGIF2LX",0.940935864275751
"MA0670.1","MA0670.1",16,546,16,10.92,1.46520146520147,0.074209204160175,"NFIA",0.940935864275751
"MA0771.1","MA0771.1",19,676,19,13.52,1.40532544378698,0.0750999415837972,"HSF4",0.940935864275751
"ENSG00000196812_LINE1427_ZSCAN16_D","ENSG00000196812_LINE1427_ZSCAN16_D",22,808,22,16.16,1.36138613861386,0.0752918074551204,"ZSCAN16",0.940935864275751
"MA0486.2","MA0486.2",18,633,18,12.66,1.4218009478673,0.0754196335160607,"HSF1",0.940935864275751
"ENSG00000100968_LINE3191_NFATC4_D","ENSG00000100968_LINE3191_NFATC4_D",33,1309,33,26.18,1.26050420168067,0.0755464711842839,"NFATC4",0.940935864275751
"MA1639.1","MA1639.1",18,634,18,12.68,1.41955835962145,0.076335682294639,"MEIS1",0.940935864275751
"ENSG00000185630_LINE2538_PBX1_D_N4","ENSG00000185630_LINE2538_PBX1_D_N4",15,506,15,10.12,1.48221343873518,0.0765422684608591,"PBX1",0.940935864275751
"ENSG00000168267_LINE261_PTF1A_D","ENSG00000168267_LINE261_PTF1A_D",29,1127,29,22.54,1.2866015971606,0.0775803355100068,"PTF1A",0.940935864275751
"MA1978.1","MA1978.1",47,1980,47,39.6,1.18686868686869,0.0778821309069942,"ZNF354A",0.940935864275751
"ENSG00000131264_LINE2328_CDX4_I","ENSG00000131264_LINE2328_CDX4_I",18,636,18,12.72,1.41509433962264,0.0781904801452581,"CDX4",0.940935864275751
"MA1974.1","MA1974.1",14,466,14,9.32,1.50214592274678,0.0786984999578544,"ZNF211",0.940935864275751
"MA0829.2","MA0829.2",20,724,20,14.48,1.38121546961326,0.0788949397724805,"SREBF1",0.940935864275751
"ENSG00000186130_LINE1341_ZBTB6_D_N2","ENSG00000186130_LINE1341_ZBTB6_D_N2",23,858,23,17.16,1.34032634032634,0.0798051362000611,"ZBTB6",0.940935864275751
"MA0800.1","MA0800.1",24,903,24,18.06,1.32890365448505,0.0799599559268103,"EOMES",0.940935864275751
"MA1652.1","MA1652.1",51,2183,51,43.66,1.16811726981219,0.0822125034437141,"ZKSCAN5",0.940935864275751
"ENSG00000126456_LINE2737_IRF3_D_N1","ENSG00000126456_LINE2737_IRF3_D_N1",31,1228,31,24.56,1.26221498371335,0.0839939623058117,"IRF3",0.940935864275751
"MA1124.1","MA1124.1",25,954,25,19.08,1.31027253668763,0.0848049451534647,"ZNF24",0.940935864275751
"MA1714.1","MA1714.1",27,1046,27,20.92,1.2906309751434,0.0856580799451582,"ZNF675",0.940935864275751
"ENSG00000102974_LINE747_CTCF_D_N67","ENSG00000102974_LINE747_CTCF_D_N67",40,1655,40,33.1,1.20845921450151,0.0861118831360028,"CTCF",0.940935864275751
"MA1489.1","MA1489.1",19,689,19,13.78,1.37880986937591,0.0871745713665832,"FOXN3",0.940935864275751
"ENSG00000012504_LINE2885_NR1H4_D","ENSG00000012504_LINE2885_NR1H4_D",18,646,18,12.92,1.39318885448916,0.0879228056421,"NR1H4",0.940935864275751
