"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0162.4","MA0162.4",64,1712,64,34.24,1.86915887850467,8.40647085064807e-10,"EGR1",1.31309074687123e-06
"ENSG00000205250_LINE1789_E2F4_D_N4","ENSG00000205250_LINE1789_E2F4_D_N4",46,1051,46,21.02,2.1883920076118,1.45763627857366e-08,"E2F4",1.13841393356603e-05
"MA1122.1","MA1122.1",37,741,37,14.82,2.49662618083671,2.76318856308516e-08,"TFDP1",1.43870017851301e-05
"MA1721.1","MA1721.1",55,1490,55,29.8,1.84563758389262,9.97281608355756e-08,"ZNF93",3.06416405245543e-05
"MA1976.1","MA1976.1",68,2105,68,42.1,1.61520190023753,1.16063778717384e-07,"ZNF320",3.06416405245543e-05
"ENSG00000166478_LINE1065_ZNF143_D_N2","ENSG00000166478_LINE1065_ZNF143_D_N2",41,932,41,18.64,2.19957081545064,1.33866919114724e-07,"ZNF143",3.06416405245543e-05
"MA1713.1","MA1713.1",51,1331,51,26.62,1.91585274229902,1.37318491467273e-07,"ZNF610",3.06416405245543e-05
"MA0471.2","MA0471.2",59,1692,59,33.84,1.7434988179669,1.74475474821401e-07,"E2F6",3.24727263929917e-05
"MA0746.2","MA0746.2",63,1882,63,37.64,1.67375132837407,1.87102776912244e-07,"SP3",3.24727263929917e-05
"ENSG00000130816_LINE1722_DNMT1_D","ENSG00000130816_LINE1722_DNMT1_D",48,1225,48,24.5,1.95918367346939,2.24091276649006e-07,"DNMT1",3.29528241010626e-05
"ENSG00000120738_LINE864_EGR1_D_N8","ENSG00000120738_LINE864_EGR1_D_N8",55,1525,55,30.5,1.80327868852459,2.36422335652874e-07,"EGR1",3.29528241010626e-05
"MA1712.1","MA1712.1",59,1708,59,34.16,1.7271662763466,2.53158699880122e-07,"ZNF454",3.29528241010626e-05
"ENSG00000008197_LINE6_TFAP2D_D","ENSG00000008197_LINE6_TFAP2D_D",56,1580,56,31.6,1.77215189873418,3.04569868097828e-07,"TFAP2D",3.35413445968939e-05
"MA0163.1","MA0163.1",57,1625,57,32.5,1.75384615384615,3.05276444487323e-07,"PLAG1",3.35413445968939e-05
"ENSG00000189120_LINE1378_SP6_I","ENSG00000189120_LINE1378_SP6_I",52,1410,52,28.2,1.84397163120567,3.46183625399704e-07,"SP6",3.35413445968939e-05
"ENSG00000204335_LINE1520_SP5_I","ENSG00000204335_LINE1520_SP5_I",52,1410,52,28.2,1.84397163120567,3.46183625399704e-07,"SP5",3.35413445968939e-05
"MA1513.1","MA1513.1",59,1724,59,34.48,1.71113689095128,3.6504664414033e-07,"KLF15",3.35413445968939e-05
"ENSG00000005889_LINE590_ZFX_D","ENSG00000005889_LINE590_ZFX_D",62,1869,62,37.38,1.65864098448368,4.04155665647821e-07,"ZFX",3.50717305412165e-05
"ENSG00000118263_LINE839_KLF7_I","ENSG00000118263_LINE839_KLF7_I",58,1687,58,33.74,1.7190278601067,4.46965207741777e-07,"KLF7",3.67452449732977e-05
"ENSG00000169016_LINE1781_E2F6_D_N5","ENSG00000169016_LINE1781_E2F6_D_N5",47,1221,47,24.42,1.92465192465192,5.90691448252504e-07,"E2F6",4.61330021085206e-05
"ENSG00000103495_LINE797_MAZ_D","ENSG00000103495_LINE797_MAZ_D",81,2918,81,58.36,1.38793694311172,1.04475366260609e-06,"MAZ",7.4921298855848e-05
"MA1564.1","MA1564.1",61,1866,61,37.32,1.63451232583065,1.05522956134997e-06,"SP9",7.4921298855848e-05
"ENSG00000181690_LINE1275_PLAG1_D_N1","ENSG00000181690_LINE1275_PLAG1_D_N1",55,1592,55,31.84,1.72738693467337,1.12327635555579e-06,"PLAG1",7.62851159729629e-05
