"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0770.1","MA0770.1",31,627,31,12.54,2.47208931419458,7.50849751525013e-07,"HSF2",0.00117282731188207
"MA0046.2","MA0046.2",36,836,36,16.72,2.15311004784689,2.04631151083792e-06,"HNF1A",0.00159816928996442
"ENSG00000138378_LINE3487_STAT4_D_N1","ENSG00000138378_LINE3487_STAT4_D_N1",35,815,35,16.3,2.14723926380368,3.26852179276218e-06,"STAT4",0.00170181034676484
"MA1932.1","MA1932.1",25,487,25,9.74,2.56673511293634,6.37183783042709e-06,"ELK1::HOXB13",0.00205050490660051
"MA1952.1","MA1952.1",51,1495,51,29.9,1.7056856187291,6.56371609027052e-06,"FOXJ2::ELF1",0.00205050490660051
"MA1125.1","MA1125.1",74,2662,74,53.24,1.38993238166792,1.3669968534462e-05,"ZNF384",0.00338414977042499
"MA1950.1","MA1950.1",55,1717,55,34.34,1.60163075131043,1.51658440415973e-05,"FLI1::FOXI1",0.00338414977042499
"MA0523.1","MA0523.1",43,1211,43,24.22,1.77539223781998,2.37104184659768e-05,"TCF7L2",0.00462945920548196
"MA0035.4","MA0035.4",25,538,25,10.76,2.32342007434944,3.63662190022484e-05,"GATA1",0.00631155934239023
"MA0772.1","MA0772.1",46,1374,46,27.48,1.67394468704512,4.88353211026067e-05,"IRF7",0.00661104138670336
"MA1942.1","MA1942.1",52,1642,52,32.84,1.58343483556638,4.94747270934695e-05,"ETV2::FOXI1",0.00661104138670336
"ENSG00000025156_LINE2707_HSF2_D_N2","ENSG00000025156_LINE2707_HSF2_D_N2",29,697,29,13.94,2.08034433285509,5.87489508912021e-05,"HSF2",0.00661104138670336
"MA1935.1","MA1935.1",49,1516,49,30.32,1.61609498680739,5.89573041978201e-05,"ERF::FOXI1",0.00661104138670336
"MA0769.2","MA0769.2",37,1009,37,20.18,1.83349851337958,6.30319013571115e-05,"TCF7",0.00661104138670336
"ENSG00000116017_LINE44_ARID3A_D_N1","ENSG00000116017_LINE44_ARID3A_D_N1",70,2539,70,50.78,1.37849547065774,6.34863129324906e-05,"ARID3A",0.00661104138670336
"MA1954.1","MA1954.1",51,1617,51,32.34,1.57699443413729,7.20319705614707e-05,"FOXO1::ELK1",0.00701533418747968
"MA0052.4","MA0052.4",60,2047,60,40.94,1.46555935515388,8.02145243150975e-05,"MEF2A",0.00701533418747968
"ENSG00000168269_LINE2010_FOXI1_D_N2","ENSG00000168269_LINE2010_FOXI1_D_N2",49,1533,49,30.66,1.59817351598174,8.08425194459886e-05,"FOXI1",0.00701533418747968
"MA1956.1","MA1956.1",44,1317,44,26.34,1.67046317388003,8.71964642963495e-05,"FOXO1::FLI1",0.00716846722267884
"ENSG00000085276_LINE669_MECOM_D_N5","ENSG00000085276_LINE669_MECOM_D_N5",30,755,30,15.1,1.98675496688742,0.000100074392255267,"MECOM",0.00768862754846334
"MA0729.1","MA0729.1",35,951,35,19.02,1.84016824395373,0.000103368232085615,"RARA",0.00768862754846334
"ENSG00000173757_LINE3511_STAT5B_D_N2","ENSG00000173757_LINE3511_STAT5B_D_N2",29,749,29,14.98,1.93591455273698,0.000217561476417124,"STAT5B",0.0154468648256158
"ENSG00000138795_LINE3404_LEF1_D_N1","ENSG00000138795_LINE3404_LEF1_D_N1",43,1326,43,26.52,1.62141779788839,0.000232722081241815,"LEF1",0.0156115842294703
"ENSG00000175325_LINE2492_PROP1_D_N2","ENSG00000175325_LINE2492_PROP1_D_N2",32,870,32,17.4,1.83908045977012,0.000239870692386227,"PROP1",0.0156115842294703
"ENSG00000178919_LINE2036_FOXE1_I","ENSG00000178919_LINE2036_FOXE1_I",53,1786,53,35.72,1.48376259798432,0.000266939331487149,"FOXE1",0.0166783694313171
"ENSG00000111249_LINE1692_CUX2_D_N1","ENSG00000111249_LINE1692_CUX2_D_N1",15,274,15,5.48,2.73722627737226,0.000306138762238952,"CUX2",0.018391874869894
"ENSG00000125347_LINE2729_IRF1_D_N2","ENSG00000125347_LINE2729_IRF1_D_N2",72,2760,72,55.2,1.30434782608696,0.00036838308761534,"IRF1",0.0208762020652538
"ENSG00000120087_LINE2290_HOXB7_D","ENSG00000120087_LINE2290_HOXB7_D",28,734,28,14.68,1.90735694822888,0.000374221291822732,"HOXB7",0.0208762020652538
"ENSG00000065970_LINE1948_FOXJ2_D_N2","ENSG00000065970_LINE1948_FOXJ2_D_N2",48,1584,48,31.68,1.51515151515151,0.000425938362311132,"FOXJ2",0.0217755280412944
"ENSG00000215271_LINE2566_HOMEZ_D","ENSG00000215271_LINE2566_HOMEZ_D",18,379,18,7.58,2.37467018469657,0.000426719244808263,"HOMEZ",0.0217755280412944
"MA1937.1","MA1937.1",21,482,21,9.64,2.17842323651452,0.000432164769065382,"ERF::HOXB13",0.0217755280412944
"MA0485.2","MA0485.2",16,316,16,6.32,2.53164556962025,0.00045882729148271,"HOXC9",0.0223965071654998
"ENSG00000109705_LINE2257_NKX32_D","ENSG00000109705_LINE2257_NKX32_D",27,707,27,14.14,1.90947666195191,0.000484839776653436,"NKX32",0.022949082761596
"MA1936.1","MA1936.1",43,1372,43,27.44,1.56705539358601,0.000520121329665007,"ERF::FOXO1",0.0234071689967603
"MA0762.1","MA0762.1",28,749,28,14.98,1.86915887850467,0.000524488421822413,"ETV2",0.0234071689967603
"ENSG00000007866_LINE3572_TEAD3_D_N1","ENSG00000007866_LINE3572_TEAD3_D_N1",25,638,25,12.76,1.95924764890282,0.000567781290394268,"TEAD3",0.0237312231178154
"MA1503.1","MA1503.1",16,323,16,6.46,2.47678018575851,0.000585185545597485,"HOXB9",0.0237312231178154
"ENSG00000113722_LINE2267_CDX1_D_N1","ENSG00000113722_LINE2267_CDX1_D_N1",32,914,32,18.28,1.75054704595186,0.00059967839137976,"CDX1",0.0237312231178154
"ENSG00000148737_LINE3416_TCF7L2_D_N2","ENSG00000148737_LINE3416_TCF7L2_D_N2",37,1121,37,22.42,1.65031222123104,0.000599777425799993,"TCF7L2",0.0237312231178154
"ENSG00000129535_LINE398_NRL_D","ENSG00000129535_LINE398_NRL_D",27,717,27,14.34,1.88284518828452,0.000607713780225747,"NRL",0.0237312231178154
"ENSG00000106004_LINE2211_HOXA5_D_N1","ENSG00000106004_LINE2211_HOXA5_D_N1",23,573,23,11.46,2.00698080279232,0.000712615050551589,"HOXA5",0.0269519382797128
"MA0847.3","MA0847.3",43,1392,43,27.84,1.54454022988506,0.000724700004960266,"FOXD2",0.0269519382797128
"ENSG00000108753_LINE2249_HNF1B_D_N3","ENSG00000108753_LINE2249_HNF1B_D_N3",23,575,23,11.5,2,0.00074851318635246,"HNF1B",0.0271901766763382
"MA0144.2","MA0144.2",42,1352,42,27.04,1.55325443786982,0.000776590489635171,"STAT3",0.0275689623820486
"ENSG00000128709_LINE2319_HOXD9_D","ENSG00000128709_LINE2319_HOXD9_D",31,893,31,17.86,1.73572228443449,0.00087994228365494,"HOXD9",0.0302200094240367
"MA0846.1","MA0846.1",48,1631,48,32.62,1.47148988350705,0.000889961865240519,"FOXC2",0.0302200094240367
"ENSG00000186564_LINE2047_FOXD2_D_N1","ENSG00000186564_LINE2047_FOXD2_D_N1",35,1060,35,21.2,1.65094339622642,0.0009119338401077,"FOXD2",0.0303072480478346
"MA0681.2","MA0681.2",45,1499,45,29.98,1.50100066711141,0.000956982246441943,"PHOX2B",0.0311417972696316
"MA1958.1","MA1958.1",23,587,23,11.74,1.95911413969336,0.000999031456501763,"HOXD12::ELK1",0.0314311629323205
"MA1549.1","MA1549.1",22,551,22,11.02,1.99637023593466,0.00102543353880145,"POU6F1",0.0314311629323205
"MA1940.1","MA1940.1",19,443,19,8.86,2.14446952595937,0.00102988056131524,"ETV2::DRGX",0.0314311629323205
"ENSG00000165556_LINE2444_CDX2_D_N3","ENSG00000165556_LINE2444_CDX2_D_N3",31,902,31,18.04,1.71840354767184,0.00104636393884806,"CDX2",0.0314311629323205
"MA0780.1","MA0780.1",14,277,14,5.54,2.52707581227437,0.00109505845104427,"PAX3",0.0322732320854934
"ENSG00000159216_LINE3282_RUNX1_D_N2","ENSG00000159216_LINE3282_RUNX1_D_N2",77,3116,77,62.32,1.23555840821566,0.0011568134598686,"RUNX1",0.0334619004502733
"ENSG00000185122_LINE2726_HSF1_D_N4","ENSG00000185122_LINE2726_HSF1_D_N4",24,636,24,12.72,1.88679245283019,0.00129262608900437,"HSF1",0.0367105809277241
"MA0715.1","MA0715.1",31,915,31,18.3,1.69398907103825,0.00133578414167657,"PROP1",0.0372588362374786
"MA0153.2","MA0153.2",22,563,22,11.26,1.9538188277087,0.00136588946360715,"HNF1B",0.0374301638974452
"MA0137.3","MA0137.3",35,1086,35,21.72,1.61141804788214,0.00143648850156557,"STAT1",0.0386861213697485
"ENSG00000069011_LINE2181_PITX1_D_N3","ENSG00000069011_LINE2181_PITX1_D_N3",19,458,19,9.16,2.07423580786026,0.00153376110655118,"PITX1",0.0406056753971684
"ENSG00000102878_LINE2709_HSF4_D","ENSG00000102878_LINE2709_HSF4_D",25,684,25,13.68,1.82748538011696,0.00158586750691615,"HSF4",0.0412854174300504
"MA1709.1","MA1709.1",49,1721,49,34.42,1.42359093550261,0.00168396095903748,"ZIM3",0.0414239941746698
"ENSG00000105672_LINE1815_ETV2_D","ENSG00000105672_LINE1815_ETV2_D",26,727,26,14.54,1.78817056396149,0.00171730049265376,"ETV2",0.0414239941746698
"ENSG00000171634_LINE3685_BPTF_D_N1","ENSG00000171634_LINE3685_BPTF_D_N1",40,1314,40,26.28,1.5220700152207,0.00172990464197442,"BPTF",0.0414239941746698
"ENSG00000119547_LINE1696_ONECUT2_D_N1","ENSG00000119547_LINE1696_ONECUT2_D_N1",25,689,25,13.78,1.81422351233672,0.00175966061163299,"ONECUT2",0.0414239941746698
"MA0760.1","MA0760.1",21,537,21,10.74,1.95530726256983,0.00177610599087938,"ERF",0.0414239941746698
"MA1104.2","MA1104.2",29,849,29,16.98,1.70789163722026,0.00178473684656251,"GATA6",0.0414239941746698
"ENSG00000103241_LINE1950_FOXF1_D_N2","ENSG00000103241_LINE1950_FOXF1_D_N2",38,1229,38,24.58,1.5459723352319,0.00180566789047529,"FOXF1",0.0414239941746698
"ENSG00000119508_LINE2965_NR4A3_D","ENSG00000119508_LINE2965_NR4A3_D",35,1100,35,22,1.59090909090909,0.00181739244312836,"NR4A3",0.0414239941746698
"ENSG00000184271_LINE2532_POU6F1_D_N2","ENSG00000184271_LINE2532_POU6F1_D_N2",28,811,28,16.22,1.72626387176326,0.00186864892573097,"POU6F1",0.0414239941746698
"MA0627.2","MA0627.2",36,1145,36,22.9,1.57205240174672,0.00188280259566318,"POU2F3",0.0414239941746698
"MA0140.2","MA0140.2",22,577,22,11.54,1.90641247833622,0.00188290882612135,"GATA1::TAL1",0.0414239941746698
"ENSG00000136574_LINE2102_GATA4_D_N2","ENSG00000136574_LINE2102_GATA4_D_N2",28,818,28,16.36,1.71149144254279,0.00213165983120323,"GATA4",0.0460679183060967
"ENSG00000185697_LINE2870_MYBL1_D_N1","ENSG00000185697_LINE2870_MYBL1_D_N1",9,144,9,2.88,3.125,0.00217239561926947,"MYBL1",0.0460679183060967
"ENSG00000170608_LINE2016_FOXA3_D","ENSG00000170608_LINE2016_FOXA3_D",43,1464,43,29.28,1.46857923497268,0.00219686495702715,"FOXA3",0.0460679183060967
"MA1962.1","MA1962.1",35,1112,35,22.24,1.57374100719424,0.00221196790842334,"POU2F1::SOX2",0.0460679183060967
