"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000124092_LINE881_CTCFL_D","ENSG00000124092_LINE881_CTCFL_D",54,1454,54,29.0974584750851,1.85583218707015,1.23184738245782e-07,"CTCFL",0.000133932748039171
"MA1961.1","MA1961.1",69,2172,69,43.4660796477887,1.58744475138122,1.71488793904189e-07,"PATZ1",0.000133932748039171
"MA1513.1","MA1513.1",58,1667,58,33.3600160096058,1.73860827834433,2.89085037735361e-07,"KLF15",0.000146065476524631
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",72,2364,72,47.3083850310186,1.52192893401015,3.7404731504387e-07,"PURA",0.000146065476524631
"ENSG00000005889_LINE590_ZFX_D","ENSG00000005889_LINE590_ZFX_D",60,1799,60,36.0016009605763,1.66659255141745,7.04867818366923e-07,"ZFX",0.000220200706457827
"ENSG00000102974_LINE747_CTCF_D_N67","ENSG00000102974_LINE747_CTCF_D_N67",53,1515,53,30.3181909145487,1.74812541254125,1.50210554326449e-06,"CTCF",0.000391048143096522
"MA0746.2","MA0746.2",58,1794,58,35.9015409245547,1.61552954292085,4.52166060922548e-06,"SP3",0.000981491692826109
"MA1959.1","MA1959.1",62,1990,62,39.823894336602,1.55685427135678,5.05421635395506e-06,"KLF7",0.000981491692826109
"ENSG00000118263_LINE839_KLF7_I","ENSG00000118263_LINE839_KLF7_I",53,1576,53,31.5389233540124,1.68046319796954,5.65520181525927e-06,"KLF7",0.000981491692826109
"ENSG00000163884_LINE1044_KLF15_D","ENSG00000163884_LINE1044_KLF15_D",66,2211,66,44.2465479287573,1.49164179104478,7.87218041164849e-06,"KLF15",0.00122963458029949
"MA1515.1","MA1515.1",60,1923,60,38.4830898539123,1.5591263650546,8.89155346968542e-06,"KLF2",0.00126260059269533
"MA0162.4","MA0162.4",52,1562,52,31.2587552531519,1.66353393085787,1.06856161636681e-05,"EGR1",0.00130652716804263
"ENSG00000185591_LINE1321_SP1_D_N5","ENSG00000185591_LINE1321_SP1_D_N5",66,2233,66,44.6868120872524,1.47694581280788,1.17811302195532e-05,"SP1",0.00130652716804263
"MA1564.1","MA1564.1",57,1799,57,36.0016009605763,1.58326292384658,1.25385908584087e-05,"SP9",0.00130652716804263
"MA0039.4","MA0039.4",69,2390,69,47.828697218331,1.44264853556485,1.25466757494491e-05,"KLF4",0.00130652716804263
"MA1596.1","MA1596.1",70,2462,70,49.2695617370422,1.42075548334687,1.78069006388904e-05,"ZNF460",0.00166143768701271
"ENSG00000120738_LINE864_EGR1_D_N8","ENSG00000120738_LINE864_EGR1_D_N8",48,1411,48,28.2369421652992,1.69990077958894,1.80822283477696e-05,"EGR1",0.00166143768701271
"MA1511.2","MA1511.2",60,1971,60,39.4436661997198,1.52115677321157,2.17625444077548e-05,"KLF10",0.00179967541060286
