"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1151.1","MA1151.1",64,1767,32,17.6717671767177,1.81079796264856,4.99398205491391e-07,"RORC",0.000673534050937417
"MA0835.2","MA0835.2",81,2502,40.5,25.022502250225,1.61854316546763,8.62399553056872e-07,"BATF3",0.000673534050937417
"ENSG00000175592_LINE505_FOSL1_D_N3","ENSG00000175592_LINE505_FOSL1_D_N3",75,2282,37.5,22.8222822282228,1.6431310254163,1.63628468635495e-06,"FOSL1",0.000765612982926712
"MA1633.2","MA1633.2",70,2082,35,20.8220822082208,1.68090778097983,1.96059662721309e-06,"BACH1",0.000765612982926712
"MA0490.2","MA0490.2",71,2139,35.5,21.3921392139214,1.65948807854137,2.57588850271435e-06,"JUNB",0.000771090200976273
"MA1928.1","MA1928.1",77,2402,38.5,24.022402240224,1.60267069109076,2.96193419068991e-06,"BNC2",0.000771090200976273
"MA0476.1","MA0476.1",77,2426,38.5,24.2624262426243,1.58681574608409,4.40874769419692e-06,"FOS",0.000833350293267749
"MA0477.2","MA0477.2",73,2258,36.5,22.5822582258226,1.61631310894597,4.67454692294615e-06,"FOSL1",0.000833350293267749
"MA0462.2","MA0462.2",79,2518,39.5,25.1825182518252,1.56854845115171,4.80163421217013e-06,"BATF::JUN",0.000833350293267749
"ENSG00000173473_LINE2867_SMARCC1_D_N2","ENSG00000173473_LINE2867_SMARCC1_D_N2",76,2410,38,24.1024102410241,1.57660580912863,6.85873120967698e-06,"SMARCC1",0.000954389430212203
"MA1634.1","MA1634.1",78,2498,39,24.982498249825,1.56109287429944,6.99222741679202e-06,"BATF",0.000954389430212203
"ENSG00000170345_LINE476_FOS_D_N4","ENSG00000170345_LINE476_FOS_D_N4",78,2501,39,25.012501250125,1.55922031187525,7.33205708229606e-06,"FOS",0.000954389430212203
"MA0099.3","MA0099.3",65,1985,32.5,19.8519851985199,1.63711586901763,1.38517865748365e-05,"FOS::JUN",0.00166434543306882
"ENSG00000171223_LINE487_JUNB_D_N3","ENSG00000171223_LINE487_JUNB_D_N3",74,2419,37,24.1924192419242,1.52940471269119,3.02596768904198e-05,"JUNB",0.00327427512189686
"ENSG00000130522_LINE411_JUND_D_N6","ENSG00000130522_LINE411_JUND_D_N6",73,2378,36.5,23.7823782378238,1.53474978973928,3.1443102963158e-05,"JUND",0.00327427512189686
"MA0491.2","MA0491.2",63,1963,31.5,19.6319631963196,1.60452623535405,3.83567165751994e-05,"JUND",0.00359638251393315
"ENSG00000198963_LINE18386_RORB_I_N9","ENSG00000198963_LINE18386_RORB_I_N9",57,1715,28.5,17.1517151715172,1.66164139941691,3.91411669250087e-05,"RORB",0.00359638251393315
"MA1150.1","MA1150.1",61,1903,30.5,19.031903190319,1.60257225433526,5.62759722043881e-05,"RORB",0.00488350381018079
"ENSG00000159216_LINE3282_RUNX1_D_N2","ENSG00000159216_LINE3282_RUNX1_D_N2",163,6957,81.5,69.5769576957696,1.17136481241915,7.88213293622996e-05,"RUNX1",0.00647994297178484
"MA1137.1","MA1137.1",64,2069,32,20.6920692069207,1.54648622522958,0.000102156249522109,"FOSL1::JUNB",0.00797840308767673
"ENSG00000075426_LINE328_FOSL2_D_N3","ENSG00000075426_LINE328_FOSL2_D_N3",73,2474,36.5,24.7424742474247,1.47519603880356,0.000123403235226221,"FOSL2",0.00917885016301703
"MA0478.1","MA0478.1",73,2483,36.5,24.8324832483248,1.46984897301651,0.000139330848634326,"FOSL2",0.00989249025303715
"ENSG00000069667_LINE2896_RORA_D_N5","ENSG00000069667_LINE2896_RORA_D_N5",60,1939,30,19.3919391939194,1.54703455389376,0.000185710460800369,"RORA",0.0126121625987033
"MA1135.1","MA1135.1",60,1944,30,19.4419441944194,1.54305555555556,0.000199742868524465,"FOSB::JUNB",0.0129999316931339
"ENSG00000187098_LINE295_MITF_D","ENSG00000187098_LINE295_MITF_D",55,1740,27.5,17.4017401740174,1.58030172413793,0.000222142286188582,"MITF",0.0138794500410626
"ENSG00000120693_LINE19375_SMAD9_I_N1","ENSG00000120693_LINE19375_SMAD9_I_N1",70,2402,35,24.022402240224,1.45697335553705,0.00027602219127691,"SMAD9",0.0165825639528666
"MA1141.1","MA1141.1",65,2194,32.5,21.9421942194219,1.4811645396536,0.000322033914763228,"FOS::JUND",0.018562279606789
"ENSG00000137265_LINE2747_IRF4_D_N1","ENSG00000137265_LINE2747_IRF4_D_N1",94,3517,47,35.1735173517352,1.33623258458914,0.000332742528162671,"IRF4",0.018562279606789
"MA1128.1","MA1128.1",64,2161,32,21.6121612161216,1.48064784821842,0.000370873103632877,"FOSL1::JUN",0.0199759926853295
