"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000120738_LINE864_EGR1_D_N8","ENSG00000120738_LINE864_EGR1_D_N8",149,5984,74.5,59.8459845984598,1.24486213235294,8.12079571972715e-06,"EGR1",0.0126846829142138
"ENSG00000167182_LINE1077_SP2_D_N1","ENSG00000167182_LINE1077_SP2_D_N1",183,8126,91.5,81.2681268126813,1.12590265813438,3.64438590908069e-05,"SP2",0.0284626539499202
"ENSG00000184937_LINE1305_WT1_D","ENSG00000184937_LINE1305_WT1_D",168,7310,84,73.1073107310731,1.14899589603283,0.000162797995865282,"WT1",0.0740128993675601
"MA1513.1","MA1513.1",156,6664,78,66.6466646664666,1.17035114045618,0.000258688953878477,"KLF15",0.0740128993675601
"MA0471.2","MA0471.2",148,6238,74,62.3862386238624,1.18615902532863,0.000301211314453132,"E2F6",0.0740128993675601
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",180,8092,90,80.9280928092809,1.11209836875927,0.000304827755938416,"ZNF148",0.0740128993675601
"ENSG00000067082_LINE628_KLF6_D","ENSG00000067082_LINE628_KLF6_D",126,5096,63,50.965096509651,1.23614010989011,0.000353701550780324,"KLF6",0.0740128993675601
"MA1713.1","MA1713.1",140,5831,70,58.3158315831583,1.20036014405762,0.000379067346312728,"ZNF610",0.0740128993675601
"MA1959.1","MA1959.1",166,7287,83,72.8772877287729,1.1389007822149,0.000471758810741122,"KLF7",0.0813581970061224
"MA1511.2","MA1511.2",167,7354,83.5,73.5473547354735,1.1353229534947,0.000520859135762628,"KLF10",0.0813581970061224
"ENSG00000165804_LINE1060_ZNF219_D","ENSG00000165804_LINE1060_ZNF219_D",141,5940,70.5,59.4059405940594,1.18675,0.000668231326276806,"ZNF219",0.0948888483313064
"ENSG00000189120_LINE1378_SP6_I","ENSG00000189120_LINE1378_SP6_I",141,5967,70.5,59.6759675967597,1.18138009049774,0.000871515571045088,"SP6",0.101838489260346
"ENSG00000204335_LINE1520_SP5_I","ENSG00000204335_LINE1520_SP5_I",141,5967,70.5,59.6759675967597,1.18138009049774,0.000871515571045088,"SP5",0.101838489260346
"ENSG00000154727_LINE1896_GABPA_D_N7","ENSG00000154727_LINE1896_GABPA_D_N7",82,3047,41,30.4730473047305,1.34545126353791,0.000912764948556241,"GABPA",0.101838489260346
"ENSG00000130816_LINE1722_DNMT1_D","ENSG00000130816_LINE1722_DNMT1_D",127,5255,63.5,52.5552555255526,1.20825214081827,0.00103436540835184,"DNMT1",0.107711917856372
"MA0742.2","MA0742.2",154,6699,77,66.996699669967,1.14931034482759,0.00116999270505357,"KLF12",0.108548317012804
"ENSG00000169057_LINE2826_MECP2_D","ENSG00000169057_LINE2826_MECP2_D",127,5269,63.5,52.6952695269527,1.20504175365344,0.00118138373189351,"MECP2",0.108548317012804
"MA0162.4","MA0162.4",140,5967,70,59.6759675967597,1.17300150829563,0.00144451055583832,"EGR1",0.121578778188062
"ENSG00000008197_LINE6_TFAP2D_D","ENSG00000008197_LINE6_TFAP2D_D",146,6289,73,62.8962896289629,1.16064080139927,0.00147887118154492,"TFAP2D",0.121578778188062
"MA0765.3","MA0765.3",60,2107,30,21.0721072107211,1.42368296155672,0.00169860256049793,"ETV5",0.123535716510883
"MA1961.1","MA1961.1",171,7698,85.5,76.987698769877,1.11056703039751,0.00170091333579768,"PATZ1",0.123535716510883
"MA0504.1","MA0504.1",119,4904,59.5,49.044904490449,1.21317393964111,0.00173993966916736,"NR2C2",0.123535716510883
"ENSG00000005889_LINE590_ZFX_D","ENSG00000005889_LINE590_ZFX_D",157,6915,78.5,69.1569156915692,1.13509978308026,0.00190731484482073,"ZFX",0.129531555983043
"ENSG00000134046_LINE2819_MBD2_D","ENSG00000134046_LINE2819_MBD2_D",102,4088,51,40.8840884088409,1.24742906066536,0.00222032337363389,"MBD2",0.142670234918354
"MA0076.2","MA0076.2",90,3513,45,35.1335133513351,1.28082835183604,0.00228345446412219,"ELK4",0.142670234918354
"ENSG00000196092_LINE3170_PAX5_D_N8","ENSG00000196092_LINE3170_PAX5_D_N8",73,2731,36.5,27.3127312731273,1.33637312339802,0.00259235946722627,"PAX5",0.155740980300286
"ENSG00000158711_LINE1910_ELK4_D_N5","ENSG00000158711_LINE1910_ELK4_D_N5",89,3494,44.5,34.9434943494349,1.27348454493417,0.00299045491897459,"ELK4",0.170957485163092
"MA0740.2","MA0740.2",152,6695,76,66.956695669567,1.13506198655713,0.00314452124429291,"KLF14",0.170957485163092
"ENSG00000151702_LINE1884_FLI1_D_N2","ENSG00000151702_LINE1884_FLI1_D_N2",53,1853,26.5,18.5318531853185,1.42997031840259,0.0031739866003391,"FLI1",0.170957485163092
"ENSG00000006468_LINE1799_ETV1_D","ENSG00000006468_LINE1799_ETV1_D",52,1831,26,18.3118311831183,1.4198470780994,0.00408260534932136,"ETV1",0.20237487482125
"MA0764.3","MA0764.3",61,2235,30.5,22.3522352235224,1.36451677852349,0.00430415509207602,"ETV4",0.20237487482125
