"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000185129_LINE3691_PURA_D","ENSG00000185129_LINE3691_PURA_D",79,2633,79,52.66,1.50018989745537,3.23512242110637e-08,"PURA",5.05326122176815e-05
"ENSG00000067082_LINE628_KLF6_D","ENSG00000067082_LINE628_KLF6_D",46,1161,46,23.22,1.98105081826012,3.56634546417897e-07,"KLF6",0.000195911964544783
"MA1514.1","MA1514.1",57,1634,57,32.68,1.74418604651163,3.7627137876719e-07,"KLF17",0.000195911964544783
"ENSG00000105866_LINE807_SP4_D_N1","ENSG00000105866_LINE807_SP4_D_N1",54,1513,54,30.26,1.78453403833444,5.08351509157281e-07,"SP4",0.000198511264325918
"ENSG00000163848_LINE1042_ZNF148_D","ENSG00000163848_LINE1042_ZNF148_D",74,2549,74,50.98,1.45154962730483,1.72153124395088e-06,"ZNF148",0.000411861021427182
"ENSG00000113658_LINE19362_SMAD5_I_N1","ENSG00000113658_LINE19362_SMAD5_I_N1",42,1062,42,21.24,1.9774011299435,1.80076630247614e-06,"SMAD5",0.000411861021427182
"MA0162.4","MA0162.4",57,1712,57,34.24,1.66471962616822,2.11745705228818e-06,"EGR1",0.000411861021427182
"MA1961.1","MA1961.1",69,2305,69,46.1,1.49674620390456,2.52792915153561e-06,"PATZ1",0.000411861021427182
"MA1981.1","MA1981.1",71,2410,71,48.2,1.47302904564315,2.57400546004577e-06,"ZNF530",0.000411861021427182
"MA1976.1","MA1976.1",65,2105,65,42.1,1.54394299287411,2.63675429850949e-06,"ZNF320",0.000411861021427182
"MA0740.2","MA0740.2",57,1752,57,35.04,1.62671232876712,4.85401006169898e-06,"KLF14",0.000689269428761255
"MA1972.1","MA1972.1",62,2016,62,40.32,1.53769841269841,8.13457328640875e-06,"ZFP14",0.00105808082334049
