"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"ENSG00000125398_LINE3380_SOX9_D_N4","ENSG00000125398_LINE3380_SOX9_D_N4",23,744,23,14.88,1.54569892473118,0.0192551681972788,"SOX9",1
"ENSG00000198914_LINE2689_POU3F3_D_N1","ENSG00000198914_LINE2689_POU3F3_D_N1",33,1186,33,23.72,1.39123102866779,0.0211825879968186,"POU3F3",1
"MA0119.1","MA0119.1",24,809,24,16.18,1.48331273176761,0.0264950627830493,"NFIC::TLX1",1
"ENSG00000212993_LINE2696_POU5F1B_D_N1","ENSG00000212993_LINE2696_POU5F1B_D_N1",24,822,24,16.44,1.45985401459854,0.0314604455822091,"POU5F1B",1
"MA0792.1","MA0792.1",24,822,24,16.44,1.45985401459854,0.0314604455822091,"POU5F1B",1
"MA0788.1","MA0788.1",33,1221,33,24.42,1.35135135135135,0.0315886927127956,"POU3F3",1
"ENSG00000196767_LINE2686_POU3F4_D_N1","ENSG00000196767_LINE2686_POU3F4_D_N1",23,793,23,15.86,1.45018915510719,0.0377246589088755,"POU3F4",1
"MA0789.1","MA0789.1",23,793,23,15.86,1.45018915510719,0.0377246589088755,"POU3F4",1
"ENSG00000206454_LINE6122_AL7735441_I_N5","ENSG00000206454_LINE6122_AL7735441_I_N5",33,1239,33,24.78,1.3317191283293,0.0383278836103516,"AL7735441",1
"ENSG00000229094_LINE6138_CR3882292_I_N5","ENSG00000229094_LINE6138_CR3882292_I_N5",33,1239,33,24.78,1.3317191283293,0.0383278836103516,"CR3882292",1
"ENSG00000233911_LINE6155_AL6628334_I_N5","ENSG00000233911_LINE6155_AL6628334_I_N5",33,1239,33,24.78,1.3317191283293,0.0383278836103516,"AL6628334",1
"ENSG00000235068_LINE6169_CR7598154_I_N5","ENSG00000235068_LINE6169_CR7598154_I_N5",33,1239,33,24.78,1.3317191283293,0.0383278836103516,"CR7598154",1
"ENSG00000237582_LINE6183_BX0885802_I_N5","ENSG00000237582_LINE6183_BX0885802_I_N5",33,1239,33,24.78,1.3317191283293,0.0383278836103516,"BX0885802",1
"ENSG00000230336_LINE17148_CR8477943_I_N5","ENSG00000230336_LINE17148_CR8477943_I_N5",33,1239,33,24.78,1.3317191283293,0.0383278836103516,"CR8477943",1
"MA0507.2","MA0507.2",26,945,26,18.9,1.37566137566138,0.0482213153485116,"POU2F2",1
"MA0077.1","MA0077.1",16,520,16,10.4,1.53846153846154,0.0518805105786156,"SOX9",1
"ENSG00000168875_LINE3427_SOX14_D_N1","ENSG00000168875_LINE3427_SOX14_D_N1",18,605,18,12.1,1.48760330578512,0.0527537864739616,"SOX14",1
"MA0784.2","MA0784.2",28,1044,28,20.88,1.34099616858238,0.0534680006320883,"POU1F1",1
"MA1152.1","MA1152.1",32,1231,32,24.62,1.29975629569456,0.0562087833862264,"SOX15",1
"MA0862.1","MA0862.1",6,138,6,2.76,2.17391304347826,0.0571414722630339,"GMEB2",1
"ENSG00000143190_LINE2665_POU2F1_D_N5","ENSG00000143190_LINE2665_POU2F1_D_N5",26,968,26,19.36,1.34297520661157,0.0618927963780482,"POU2F1",1
"ENSG00000134595_LINE3399_SOX3_I","ENSG00000134595_LINE3399_SOX3_I",23,837,23,16.74,1.37395459976105,0.0636845268373877,"SOX3",1
"MA0787.1","MA0787.1",29,1110,29,22.2,1.30630630630631,0.0659358849642201,"POU3F2",1
"MA0785.1","MA0785.1",26,976,26,19.52,1.33196721311475,0.0672527723785475,"POU2F1",1
"ENSG00000137709_LINE2649_POU2F3_D_N1","ENSG00000137709_LINE2649_POU2F3_D_N1",22,802,22,16.04,1.3715710723192,0.0705104917493742,"POU2F3",1
"MA1527.1","MA1527.1",21,765,21,15.3,1.37254901960784,0.0762966102136734,"NFIC",1
"MA0143.4","MA0143.4",15,509,15,10.18,1.47347740667976,0.0796629388981387,"SOX2",1
"ENSG00000101216_LINE3291_GMEB2_D_N2","ENSG00000101216_LINE3291_GMEB2_D_N2",4,82,4,1.64,2.4390243902439,0.0808362186215461,"GMEB2",1
"ENSG00000179774_LINE285_ATOH7_I","ENSG00000179774_LINE285_ATOH7_I",11,349,11,6.98,1.57593123209169,0.0872722305750952,"ATOH7",1
"ENSG00000138795_LINE3404_LEF1_D_N1","ENSG00000138795_LINE3404_LEF1_D_N1",33,1326,33,26.52,1.24434389140271,0.0876064060934729,"LEF1",1
"MA0071.1","MA0071.1",18,654,18,13.08,1.37614678899083,0.0962654748490461,"RORA",1
"MA0104.4","MA0104.4",12,398,12,7.96,1.50753768844221,0.09786803758328,"MYCN",1
"MA0722.1","MA0722.1",15,528,15,10.56,1.42045454545455,0.101378197628258,"VAX1",1
"MA1125.1","MA1125.1",60,2662,60,53.24,1.12697220135237,0.102170887204119,"ZNF384",1
"ENSG00000082175_LINE2903_PGR_D_N1","ENSG00000082175_LINE2903_PGR_D_N1",25,975,25,19.5,1.28205128205128,0.103470262506301,"PGR",1
"ENSG00000114439_LINE3367_BBX_I","ENSG00000114439_LINE3367_BBX_I",6,164,6,3.28,1.82926829268293,0.109192254174227,"BBX",1
"MA1978.1","MA1978.1",46,1980,46,39.6,1.16161616161616,0.112011798553102,"ZNF354A",1
"MA0786.1","MA0786.1",27,1077,27,21.54,1.25348189415042,0.113162820996894,"POU3F1",1
"ENSG00000144355_LINE2389_DLX1_D","ENSG00000144355_LINE2389_DLX1_D",12,409,12,8.18,1.46699266503667,0.113779976611971,"DLX1",1
"MA0868.2","MA0868.2",19,717,19,14.34,1.32496513249651,0.117409403104848,"SOX8",1
"MA1105.2","MA1105.2",20,762,20,15.24,1.31233595800525,0.117634119630328,"GRHL2",1
"ENSG00000008441_LINE3303_NFIX_D_N2","ENSG00000008441_LINE3303_NFIX_D_N2",19,723,19,14.46,1.31396957123098,0.124650885973247,"NFIX",1
"ENSG00000147862_LINE3318_NFIB_D","ENSG00000147862_LINE3318_NFIB_D",18,680,18,13.6,1.32352941176471,0.126851944656609,"NFIB",1
"ENSG00000134532_LINE3398_SOX5_D_N2","ENSG00000134532_LINE3398_SOX5_D_N2",19,727,19,14.54,1.30674002751032,0.129628334794513,"SOX5",1
"ENSG00000110693_LINE19574_SOX6_I_N7","ENSG00000110693_LINE19574_SOX6_I_N7",19,727,19,14.54,1.30674002751032,0.129628334794513,"SOX6",1
"MA0647.1","MA0647.1",10,336,10,6.72,1.48809523809524,0.132626037440029,"GRHL1",1
"ENSG00000117707_LINE3183_PROX1_D","ENSG00000117707_LINE3183_PROX1_D",10,337,10,6.74,1.48367952522255,0.134482679328552,"PROX1",1
"MA1968.1","MA1968.1",7,216,7,4.32,1.62037037037037,0.140002329608203,"TFCP2",1
"MA1948.1","MA1948.1",11,383,11,7.66,1.43603133159269,0.141106223744818,"ETV5::HOXA2",1
"ENSG00000039600_LINE3341_SOX30_I","ENSG00000039600_LINE3341_SOX30_I",19,736,19,14.72,1.29076086956522,0.141263990310844,"SOX30",1
"ENSG00000204531_LINE2693_POU5F1_D_N2","ENSG00000204531_LINE2693_POU5F1_D_N2",27,1104,27,22.08,1.22282608695652,0.141401444528318,"POU5F1",1
"ENSG00000135903_LINE2625_PAX3_D_N1","ENSG00000135903_LINE2625_PAX3_D_N1",6,178,6,3.56,1.68539325842697,0.144811968828987,"PAX3",1
"ENSG00000181965_LINE288_NEUROG1_I","ENSG00000181965_LINE288_NEUROG1_I",9,303,9,6.06,1.48514851485149,0.150404196128042,"NEUROG1",1
"MA0027.2","MA0027.2",8,262,8,5.24,1.52671755725191,0.152033849800319,"EN1",1
"MA0723.2","MA0723.2",8,262,8,5.24,1.52671755725191,0.152033849800319,"VAX2",1
"MA1120.1","MA1120.1",14,521,14,10.42,1.34357005758157,0.153969227255246,"SOX13",1
"ENSG00000162599_LINE3320_NFIA_D_N1","ENSG00000162599_LINE3320_NFIA_D_N1",17,656,17,13.12,1.29573170731707,0.15566789125493,"NFIA",1
